CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS
2.0;0.7;596.0;288.0;10.0
2.0;0.7;1028.0;334.0;20.0
2.0;0.7;1445.0;375.0;30.0
2.0;0.7;1802.0;404.0;40.0
2.0;0.7;2229.0;422.0;50.0
2.0;0.7;2644.0;483.0;60.0
2.0;0.7;2952.0;520.0;70.0
2.0;0.7;3322.0;553.0;80.0
2.0;0.7;3737.0;575.0;90.0
2.0;0.7;4103.0;626.0;100.0
2.0;0.7;4555.0;669.0;110.0
2.0;0.7;4902.0;685.0;120.0
2.0;0.7;5249.0;714.0;130.0
2.0;0.7;5702.0;745.0;140.0
2.0;0.7;6072.0;797.0;150.0
2.0;0.7;6516.0;829.0;160.0
2.0;0.7;6912.0;866.0;170.0
2.0;0.7;7296.0;872.0;180.0
2.0;0.7;7651.0;889.0;190.0
2.0;0.7;8130.0;901.0;200.0
2.0;0.7;8655.0;947.0;210.0
2.0;0.7;9066.0;963.0;220.0
2.0;0.7;9247.0;972.0;230.0
2.0;0.7;9597.0;990.0;240.0
2.0;0.7;10183.0;1003.0;250.0
2.0;0.7;392.0;277.0;5.0
2.0;0.7;797.0;293.0;15.0
2.0;0.7;1221.0;348.0;25.0
2.0;0.7;1592.0;374.0;35.0
2.0;0.7;1943.0;402.0;45.0
2.0;0.7;2369.0;442.0;55.0
2.0;0.7;2747.0;491.0;65.0
2.0;0.7;3133.0;526.0;75.0
2.0;0.7;3518.0;568.0;85.0
2.0;0.7;3945.0;591.0;95.0
2.0;0.7;4308.0;632.0;105.0
2.0;0.7;4750.0;680.0;115.0
2.0;0.7;5071.0;686.0;125.0
2.0;0.7;5545.0;710.0;135.0
2.0;0.7;5909.0;752.0;145.0
2.0;0.7;6251.0;785.0;155.0
2.0;0.7;6708.0;812.0;165.0
2.0;0.7;7174.0;849.0;175.0
2.0;0.7;7633.0;848.0;185.0
2.0;0.7;7993.0;856.0;195.0
2.0;0.7;8394.0;912.0;205.0
2.0;0.7;8626.0;930.0;215.0
2.0;0.7;9044.0;927.0;225.0
2.0;0.7;9560.0;944.0;235.0
2.0;0.7;10242.0;949.0;245.0
2.0;0.7;284.0;285.0;0.0
2.0;0.7;587.0;283.0;10.0
2.0;0.7;996.0;317.0;20.0
2.0;0.7;1393.0;351.0;30.0
2.0;0.7;1721.0;401.0;40.0
2.0;0.7;2149.0;418.0;50.0
2.0;0.7;2538.0;460.0;60.0
2.0;0.7;2955.0;512.0;70.0
2.0;0.7;3376.0;562.0;80.0
2.0;0.7;3717.0;572.0;90.0
2.0;0.7;4100.0;603.0;100.0
2.0;0.7;4543.0;644.0;110.0
2.0;0.7;4935.0;671.0;120.0
2.0;0.7;5293.0;703.0;130.0
2.0;0.7;5720.0;726.0;140.0
2.0;0.7;6110.0;753.0;150.0
2.0;0.7;6524.0;814.0;160.0
2.0;0.7;6964.0;828.0;170.0
2.0;0.7;7491.0;820.0;180.0
2.0;0.7;7747.0;851.0;190.0
2.0;0.7;8045.0;881.0;200.0
2.0;0.7;8454.0;904.0;210.0
2.0;0.7;8854.0;894.0;220.0
2.0;0.7;9618.0;908.0;230.0
2.0;0.7;10088.0;916.0;240.0
2.0;0.7;10119.0;922.0;250.0
2.0;0.7;397.0;281.0;5.0
2.0;0.7;784.0;296.0;15.0
2.0;0.7;1187.0;342.0;25.0
2.0;0.7;1579.0;380.0;35.0
2.0;0.7;1948.0;410.0;45.0
2.0;0.7;2351.0;440.0;55.0
2.0;0.7;2747.0;496.0;65.0
2.0;0.7;3165.0;518.0;75.0
2.0;0.7;3512.0;558.0;85.0
2.0;0.7;3863.0;578.0;95.0
2.0;0.7;4322.0;628.0;105.0
2.0;0.7;4759.0;676.0;115.0
2.0;0.7;5062.0;684.0;125.0
2.0;0.7;5535.0;708.0;135.0
2.0;0.7;6024.0;740.0;145.0
2.0;0.7;6356.0;766.0;155.0
2.0;0.7;6844.0;780.0;165.0
2.0;0.7;7071.0;800.0;175.0
2.0;0.7;7486.0;816.0;185.0
2.0;0.7;7862.0;842.0;195.0
2.0;0.7;8367.0;870.0;205.0
2.0;0.7;8847.0;883.0;215.0
2.0;0.7;9489.0;880.0;225.0
2.0;0.7;9691.0;885.0;235.0
2.0;0.7;9785.0;882.0;245.0
2.0;0.7;281.0;283.0;0.0
2.0;0.7;585.0;286.0;10.0
2.0;0.7;990.0;311.0;20.0
2.0;0.7;1414.0;357.0;30.0
2.0;0.7;1738.0;377.0;40.0
2.0;0.7;2143.0;404.0;50.0
2.0;0.7;2570.0;466.0;60.0
2.0;0.7;2959.0;511.0;70.0
2.0;0.7;3331.0;537.0;80.0
2.0;0.7;3720.0;558.0;90.0
2.0;0.7;4114.0;591.0;100.0
2.0;0.7;4616.0;642.0;110.0
2.0;0.7;4984.0;659.0;120.0
2.0;0.7;5387.0;683.0;130.0
2.0;0.7;5783.0;718.0;140.0
2.0;0.7;6185.0;745.0;150.0
2.0;0.7;6551.0;779.0;160.0
2.0;0.7;6910.0;808.0;170.0
2.0;0.7;7335.0;800.0;180.0
2.0;0.7;7625.0;810.0;190.0
2.0;0.7;8111.0;829.0;200.0
2.0;0.7;8809.0;863.0;210.0
2.0;0.7;9167.0;866.0;220.0
2.0;0.7;9401.0;857.0;230.0
2.0;0.7;9519.0;872.0;240.0
2.0;0.7;9499.0;872.0;250.0
2.0;0.7;393.0;282.0;5.0
2.0;0.7;783.0;291.0;15.0
2.0;0.7;1186.0;343.0;25.0
2.0;0.7;1581.0;376.0;35.0
2.0;0.7;1936.0;401.0;45.0
2.0;0.7;2338.0;436.0;55.0
2.0;0.7;2796.0;479.0;65.0
2.0;0.7;3163.0;508.0;75.0
2.0;0.7;3488.0;545.0;85.0
2.0;0.7;3927.0;579.0;95.0
2.0;0.7;4357.0;616.0;105.0
2.0;0.7;4760.0;652.0;115.0
2.0;0.7;5148.0;678.0;125.0
2.0;0.7;5583.0;682.0;135.0
2.0;0.7;6027.0;721.0;145.0
2.0;0.7;6353.0;749.0;155.0
2.0;0.7;6704.0;772.0;165.0
2.0;0.7;7157.0;802.0;175.0
2.0;0.7;7427.0;791.0;185.0
2.0;0.7;8068.0;828.0;195.0
2.0;0.7;8612.0;836.0;205.0
2.0;0.7;8811.0;838.0;215.0
2.0;0.7;9084.0;840.0;225.0
2.0;0.7;9256.0;856.0;235.0
2.0;0.7;9214.0;860.0;245.0
2.0;0.7;280.0;280.0;0.0
2.0;0.7;594.0;283.0;10.0
2.0;0.7;985.0;320.0;20.0
2.0;0.7;1382.0;350.0;30.0
2.0;0.7;1780.0;377.0;40.0
2.0;0.7;2191.0;420.0;50.0
2.0;0.7;2555.0;459.0;60.0
2.0;0.7;2964.0;506.0;70.0
2.0;0.7;3382.0;531.0;80.0
2.0;0.7;3723.0;545.0;90.0
2.0;0.7;4141.0;599.0;100.0
2.0;0.7;4519.0;627.0;110.0
2.0;0.7;5034.0;654.0;120.0
2.0;0.7;5350.0;679.0;130.0
2.0;0.7;5826.0;702.0;140.0
2.0;0.7;6136.0;736.0;150.0
2.0;0.7;6499.0;756.0;160.0
2.0;0.7;6977.0;762.0;170.0
2.0;0.7;7397.0;752.0;180.0
2.0;0.7;7880.0;789.0;190.0
2.0;0.7;8294.0;805.0;200.0
2.0;0.7;8712.0;842.0;210.0
2.0;0.7;8884.0;844.0;220.0
2.0;0.7;9096.0;823.0;230.0
2.0;0.7;9125.0;858.0;240.0
2.0;0.7;9388.0;857.0;250.0
2.0;0.7;391.0;281.0;5.0
2.0;0.7;784.0;292.0;15.0
2.0;0.7;1180.0;344.0;25.0
2.0;0.7;1586.0;368.0;35.0
2.0;0.7;1975.0;390.0;45.0
2.0;0.7;2396.0;439.0;55.0
2.0;0.7;2807.0;481.0;65.0
2.0;0.7;3179.0;510.0;75.0
2.0;0.7;3508.0;553.0;85.0
2.0;0.7;3972.0;565.0;95.0
2.0;0.7;4314.0;601.0;105.0
2.0;0.7;4822.0;645.0;115.0
2.0;0.7;5266.0;669.0;125.0
2.0;0.7;5561.0;679.0;135.0
2.0;0.7;5873.0;700.0;145.0
