CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS
2.0;0.5;586.0;386.0;10.0
2.0;0.5;1036.0;572.0;20.0
2.0;0.5;1421.0;754.0;30.0
2.0;0.5;1863.0;888.0;40.0
2.0;0.5;2226.0;1082.0;50.0
2.0;0.5;2705.0;1255.0;60.0
2.0;0.5;3068.0;1407.0;70.0
2.0;0.5;3504.0;1556.0;80.0
2.0;0.5;3947.0;1722.0;90.0
2.0;0.5;4338.0;1934.0;100.0
2.0;0.5;4721.0;2012.0;110.0
2.0;0.5;5187.0;2190.0;120.0
2.0;0.5;5573.0;2352.0;130.0
2.0;0.5;5944.0;2466.0;140.0
2.0;0.5;6480.0;2611.0;150.0
2.0;0.5;6830.0;2777.0;160.0
2.0;0.5;7203.0;2782.0;170.0
2.0;0.5;7555.0;2940.0;180.0
2.0;0.5;7886.0;3044.0;190.0
2.0;0.5;8111.0;3147.0;200.0
2.0;0.5;8502.0;3251.0;210.0
2.0;0.5;8837.0;3259.0;220.0
2.0;0.5;9219.0;3232.0;230.0
2.0;0.5;9800.0;3324.0;240.0
2.0;0.5;10317.0;3411.0;250.0
2.0;0.5;393.0;297.0;5.0
2.0;0.5;803.0;480.0;15.0
2.0;0.5;1238.0;649.0;25.0
2.0;0.5;1646.0;812.0;35.0
2.0;0.5;2022.0;994.0;45.0
2.0;0.5;2518.0;1151.0;55.0
2.0;0.5;2862.0;1331.0;65.0
2.0;0.5;3343.0;1495.0;75.0
2.0;0.5;3658.0;1603.0;85.0
2.0;0.5;4133.0;1782.0;95.0
2.0;0.5;4500.0;1958.0;105.0
2.0;0.5;5021.0;2129.0;115.0
2.0;0.5;5358.0;2261.0;125.0
2.0;0.5;5747.0;2371.0;135.0
2.0;0.5;6154.0;2515.0;145.0
2.0;0.5;6586.0;2579.0;155.0
2.0;0.5;7035.0;2739.0;165.0
2.0;0.5;7256.0;2832.0;175.0
2.0;0.5;7493.0;2925.0;185.0
2.0;0.5;7903.0;3038.0;195.0
2.0;0.5;8254.0;3095.0;205.0
2.0;0.5;8699.0;3182.0;215.0
2.0;0.5;9217.0;3128.0;225.0
2.0;0.5;9669.0;3316.0;235.0
2.0;0.5;10092.0;3285.0;245.0
2.0;0.5;283.0;285.0;0.0
2.0;0.5;591.0;394.0;10.0
2.0;0.5;1009.0;566.0;20.0
2.0;0.5;1452.0;730.0;30.0
2.0;0.5;1838.0;889.0;40.0
2.0;0.5;2249.0;1067.0;50.0
2.0;0.5;2655.0;1253.0;60.0
2.0;0.5;3110.0;1384.0;70.0
2.0;0.5;3476.0;1549.0;80.0
2.0;0.5;3911.0;1715.0;90.0
2.0;0.5;4348.0;1855.0;100.0
2.0;0.5;4815.0;2010.0;110.0
2.0;0.5;5156.0;2213.0;120.0
2.0;0.5;5575.0;2262.0;130.0
2.0;0.5;5972.0;2373.0;140.0
2.0;0.5;6388.0;2502.0;150.0
2.0;0.5;6788.0;2655.0;160.0
2.0;0.5;6978.0;2748.0;170.0
2.0;0.5;7243.0;2782.0;180.0
2.0;0.5;7778.0;2953.0;190.0
2.0;0.5;8146.0;3053.0;200.0
2.0;0.5;8543.0;3107.0;210.0
2.0;0.5;8944.0;3097.0;220.0
2.0;0.5;9452.0;3154.0;230.0
2.0;0.5;9799.0;3223.0;240.0
2.0;0.5;9957.0;3373.0;250.0
2.0;0.5;393.0;295.0;5.0
2.0;0.5;810.0;490.0;15.0
2.0;0.5;1217.0;663.0;25.0
2.0;0.5;1652.0;821.0;35.0
2.0;0.5;2084.0;972.0;45.0
2.0;0.5;2434.0;1142.0;55.0
2.0;0.5;2933.0;1307.0;65.0
2.0;0.5;3280.0;1483.0;75.0
2.0;0.5;3697.0;1612.0;85.0
