CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS;
2;0.2;585.0;666.0;10;
2;0.2;1021.0;1061.0;20;
2;0.2;1450.0;1477.0;30;
2;0.2;1827.0;1825.0;40;
2;0.2;2225.0;2242.0;50;
2;0.2;2683.0;2690.0;60;
2;0.2;3061.0;3043.0;70;
2;0.2;3540.0;3391.0;80;
2;0.2;3881.0;3850.0;90;
2;0.2;4313.0;4195.0;100;
2;0.2;4841.0;4615.0;110;
2;0.2;5213.0;5064.0;120;
2;0.2;5639.0;5417.0;130;
2;0.2;5992.0;5835.0;140;
2;0.2;6460.0;6197.0;150;
2;0.2;6932.0;6701.0;160;
2;0.2;7356.0;6886.0;170;
2;0.2;7863.0;7436.0;180;
2;0.2;8132.0;7796.0;190;
2;0.2;8599.0;8179.0;200;
2;0.2;8958.0;8530.0;210;
2;0.2;9363.0;9020.0;220;
2;0.2;9561.0;9382.0;230;
2;0.2;9770.0;9840.0;240;
2;0.2;9977.0;10262.0;250;
2;0.2;388.0;435.0;5;
2;0.2;840.0;857.0;15;
2;0.2;1238.0;1252.0;25;
2;0.2;1632.0;1623.0;35;
2;0.2;2021.0;2063.0;45;
2;0.2;2448.0;2433.0;55;
2;0.2;2854.0;2844.0;65;
2;0.2;3363.0;3233.0;75;
2;0.2;3743.0;3614.0;85;
2;0.2;4095.0;4005.0;95;
2;0.2;4589.0;4451.0;105;
2;0.2;4973.0;4816.0;115;
2;0.2;5436.0;5214.0;125;
2;0.2;5908.0;5640.0;135;
2;0.2;6279.0;6054.0;145;
2;0.2;6810.0;6414.0;155;
2;0.2;7241.0;6806.0;165;
2;0.2;7504.0;7136.0;175;
2;0.2;7995.0;7620.0;185;
2;0.2;8261.0;8030.0;195;
2;0.2;8541.0;8334.0;205;
2;0.2;8596.0;8727.0;215;
2;0.2;8972.0;9185.0;225;
2;0.2;9353.0;9606.0;235;
2;0.2;9763.0;10032.0;245;
2;0.2;277.0;281.0;0;
2;0.2;594.0;658.0;10;
2;0.2;1020.0;1072.0;20;
2;0.2;1445.0;1458.0;30;
2;0.2;1856.0;1827.0;40;
2;0.2;2226.0;2224.0;50;
2;0.2;2684.0;2668.0;60;
2;0.2;3043.0;3027.0;70;
2;0.2;3470.0;3422.0;80;
2;0.2;3914.0;3790.0;90;
2;0.2;4285.0;4204.0;100;
2;0.2;4767.0;4637.0;110;
2;0.2;5252.0;5076.0;120;
2;0.2;5653.0;5478.0;130;
2;0.2;6163.0;5847.0;140;
2;0.2;6456.0;6184.0;150;
2;0.2;6844.0;6527.0;160;
2;0.2;7176.0;7007.0;170;
2;0.2;7540.0;7379.0;180;
2;0.2;7776.0;7830.0;190;
2;0.2;8019.0;8259.0;200;
2;0.2;8406.0;8593.0;210;
2;0.2;8763.0;8965.0;220;
2;0.2;9218.0;9426.0;230;
2;0.2;9600.0;9864.0;240;
2;0.2;10022.0;10192.0;250;
2;0.2;389.0;442.0;5;
2;0.2;827.0;880.0;15;
2;0.2;1233.0;1284.0;25;
2;0.2;1610.0;1627.0;35;
2;0.2;2085.0;2048.0;45;
2;0.2;2466.0;2436.0;55;
2;0.2;2876.0;2840.0;65;
2;0.2;3321.0;3240.0;75;
2;0.2;3732.0;3665.0;85;
2;0.2;4103.0;4024.0;95;
2;0.2;4564.0;4423.0;105;
2;0.2;5058.0;4818.0;115;
2;0.2;5452.0;5214.0;125;
2;0.2;5862.0;5624.0;135;
2;0.2;6236.0;5981.0;145;
2;0.2;6673.0;6472.0;155;
2;0.2;6868.0;6780.0;165;
2;0.2;7063.0;7127.0;175;
2;0.2;7434.0;7535.0;185;
2;0.2;7812.0;7983.0;195;
2;0.2;8149.0;8446.0;205;
2;0.2;8587.0;8793.0;215;
2;0.2;9051.0;9249.0;225;
2;0.2;9475.0;9577.0;235;
