CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS;
2;0.4;627.0;554.0;10;
2;0.4;1022.0;927.0;20;
2;0.4;1449.0;1284.0;30;
2;0.4;1839.0;1616.0;40;
2;0.4;2281.0;2012.0;50;
2;0.4;2661.0;2360.0;60;
2;0.4;3065.0;2743.0;70;
2;0.4;3426.0;3059.0;80;
2;0.4;3908.0;3472.0;90;
2;0.4;4214.0;3778.0;100;
2;0.4;4608.0;4137.0;110;
2;0.4;5100.0;4504.0;120;
2;0.4;5417.0;4868.0;130;
2;0.4;5885.0;5296.0;140;
2;0.4;6309.0;5556.0;150;
2;0.4;6653.0;5927.0;160;
2;0.4;7132.0;6332.0;170;
2;0.4;7459.0;6584.0;180;
2;0.4;7951.0;7040.0;190;
2;0.4;8361.0;7316.0;200;
2;0.4;8713.0;7695.0;210;
2;0.4;9131.0;8103.0;220;
2;0.4;9520.0;8388.0;230;
2;0.4;9913.0;8874.0;240;
2;0.4;10293.0;9360.0;250;
2;0.4;396.0;384.0;5;
2;0.4;831.0;759.0;15;
2;0.4;1236.0;1129.0;25;
2;0.4;1610.0;1491.0;35;
2;0.4;2034.0;1834.0;45;
2;0.4;2434.0;2237.0;55;
2;0.4;2816.0;2564.0;65;
2;0.4;3238.0;3004.0;75;
2;0.4;3627.0;3270.0;85;
2;0.4;4065.0;3686.0;95;
2;0.4;4460.0;4143.0;105;
2;0.4;4857.0;4451.0;115;
2;0.4;5251.0;4783.0;125;
2;0.4;5621.0;5240.0;135;
2;0.4;6042.0;5640.0;145;
2;0.4;6539.0;5937.0;155;
2;0.4;6916.0;6360.0;165;
2;0.4;7225.0;6639.0;175;
2;0.4;7685.0;7005.0;185;
2;0.4;8041.0;7333.0;195;
2;0.4;8450.0;7823.0;205;
2;0.4;8810.0;8064.0;215;
2;0.4;9278.0;8600.0;225;
2;0.4;9691.0;8990.0;235;
2;0.4;10054.0;9379.0;245;
2;0.4;272.0;277.0;0;
2;0.4;613.0;574.0;10;
2;0.4;1030.0;950.0;20;
2;0.4;1424.0;1293.0;30;
2;0.4;1798.0;1653.0;40;
2;0.4;2218.0;2036.0;50;
2;0.4;2642.0;2368.0;60;
2;0.4;3059.0;2758.0;70;
2;0.4;3446.0;3068.0;80;
2;0.4;3823.0;3402.0;90;
2;0.4;4241.0;3729.0;100;
2;0.4;4695.0;4242.0;110;
2;0.4;5043.0;4603.0;120;
2;0.4;5427.0;4796.0;130;
2;0.4;5812.0;5127.0;140;
2;0.4;6224.0;5496.0;150;
2;0.4;6620.0;5940.0;160;
2;0.4;6976.0;6296.0;170;
2;0.4;7542.0;6706.0;180;
2;0.4;7911.0;6982.0;190;
2;0.4;8317.0;7262.0;200;
2;0.4;8697.0;7610.0;210;
2;0.4;8990.0;7942.0;220;
2;0.4;9498.0;8238.0;230;
2;0.4;9918.0;8698.0;240;
2;0.4;10223.0;8862.0;250;
2;0.4;388.0;351.0;5;
2;0.4;834.0;716.0;15;
2;0.4;1224.0;1083.0;25;
2;0.4;1622.0;1386.0;35;
2;0.4;2023.0;1727.0;45;
2;0.4;2448.0;2069.0;55;
2;0.4;2900.0;2466.0;65;
2;0.4;3248.0;2719.0;75;
2;0.4;3639.0;3065.0;85;
2;0.4;4033.0;3455.0;95;
2;0.4;4468.0;3748.0;105;
2;0.4;4825.0;4023.0;115;
2;0.4;5291.0;4509.0;125;
2;0.4;5665.0;4726.0;135;
2;0.4;6004.0;5075.0;145;
2;0.4;6539.0;5426.0;155;
2;0.4;6884.0;5624.0;165;
2;0.4;7209.0;6058.0;175;
2;0.4;7662.0;6486.0;185;
2;0.4;8060.0;6612.0;195;
2;0.4;8537.0;7206.0;205;
2;0.4;8849.0;7384.0;215;
2;0.4;9235.0;7668.0;225;
2;0.4;9706.0;7913.0;235;
