CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS;
2;0.1;588.0;684.0;10;
2;0.1;1001.0;1082.0;20;
2;0.1;1369.0;1480.0;30;
2;0.1;1785.0;1859.0;40;
2;0.1;2158.0;2271.0;50;
2;0.1;2576.0;2682.0;60;
2;0.1;2961.0;3062.0;70;
2;0.1;3350.0;3494.0;80;
2;0.1;3752.0;3851.0;90;
2;0.1;4165.0;4220.0;100;
2;0.1;4622.0;4644.0;110;
2;0.1;5035.0;5037.0;120;
2;0.1;5379.0;5367.0;130;
2;0.1;5850.0;5910.0;140;
2;0.1;6258.0;6230.0;150;
2;0.1;6705.0;6668.0;160;
2;0.1;6996.0;7007.0;170;
2;0.1;7400.0;7381.0;180;
2;0.1;7913.0;7816.0;190;
2;0.1;8365.0;8237.0;200;
2;0.1;8737.0;8620.0;210;
2;0.1;9025.0;8953.0;220;
2;0.1;9597.0;9371.0;230;
2;0.1;9838.0;9702.0;240;
2;0.1;10243.0;10305.0;250;
2;0.1;395.0;472.0;5;
2;0.1;786.0;893.0;15;
2;0.1;1188.0;1270.0;25;
2;0.1;1577.0;1675.0;35;
2;0.1;1988.0;2055.0;45;
2;0.1;2377.0;2448.0;55;
2;0.1;2781.0;2894.0;65;
2;0.1;3246.0;3242.0;75;
2;0.1;3619.0;3705.0;85;
2;0.1;4040.0;4078.0;95;
2;0.1;4405.0;4426.0;105;
2;0.1;4790.0;4792.0;115;
2;0.1;5182.0;5193.0;125;
2;0.1;5583.0;5634.0;135;
2;0.1;6004.0;6093.0;145;
2;0.1;6452.0;6348.0;155;
2;0.1;6906.0;6828.0;165;
2;0.1;7183.0;7177.0;175;
2;0.1;7541.0;7586.0;185;
2;0.1;8102.0;8091.0;195;
2;0.1;8492.0;8478.0;205;
2;0.1;8911.0;8859.0;215;
2;0.1;9357.0;9242.0;225;
2;0.1;9701.0;9611.0;235;
2;0.1;10174.0;10028.0;245;
2;0.1;279.0;278.0;0;
2;0.1;595.0;686.0;10;
2;0.1;996.0;1095.0;20;
2;0.1;1372.0;1475.0;30;
2;0.1;1769.0;1827.0;40;
2;0.1;2186.0;2275.0;50;
2;0.1;2610.0;2662.0;60;
2;0.1;2967.0;3048.0;70;
2;0.1;3372.0;3456.0;80;
2;0.1;3784.0;3890.0;90;
2;0.1;4168.0;4248.0;100;
2;0.1;4574.0;4609.0;110;
2;0.1;4995.0;5017.0;120;
2;0.1;5436.0;5483.0;130;
2;0.1;5776.0;5768.0;140;
2;0.1;6171.0;6204.0;150;
2;0.1;6676.0;6610.0;160;
2;0.1;7008.0;6983.0;170;
2;0.1;7495.0;7411.0;180;
2;0.1;7906.0;7804.0;190;
2;0.1;8330.0;8260.0;200;
2;0.1;8647.0;8673.0;210;
2;0.1;9099.0;9034.0;220;
2;0.1;9493.0;9409.0;230;
2;0.1;9879.0;9816.0;240;
2;0.1;10541.0;10273.0;250;
2;0.1;393.0;467.0;5;
2;0.1;783.0;888.0;15;
2;0.1;1188.0;1279.0;25;
2;0.1;1565.0;1653.0;35;
2;0.1;2024.0;2067.0;45;
2;0.1;2368.0;2412.0;55;
2;0.1;2783.0;2835.0;65;
2;0.1;3208.0;3262.0;75;
2;0.1;3581.0;3664.0;85;
2;0.1;3999.0;4026.0;95;
2;0.1;4383.0;4477.0;105;
2;0.1;4778.0;4843.0;115;
2;0.1;5150.0;5188.0;125;
2;0.1;5566.0;5628.0;135;
2;0.1;6013.0;6106.0;145;
2;0.1;6411.0;6376.0;155;
2;0.1;6838.0;6881.0;165;
2;0.1;7231.0;7183.0;175;
2;0.1;7639.0;7546.0;185;
2;0.1;8091.0;8034.0;195;
2;0.1;8548.0;8466.0;205;
2;0.1;8830.0;8741.0;215;
2;0.1;9263.0;9244.0;225;
2;0.1;9619.0;9647.0;235;
