CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS
2.0;0.0;604.0;671.0;10.0
2.0;0.0;1023.0;1063.0;20.0
2.0;0.0;1450.0;1449.0;30.0
2.0;0.0;1818.0;1807.0;40.0
2.0;0.0;2255.0;2163.0;50.0
2.0;0.0;2678.0;2593.0;60.0
2.0;0.0;3032.0;2923.0;70.0
2.0;0.0;3535.0;3367.0;80.0
2.0;0.0;3899.0;3802.0;90.0
2.0;0.0;4264.0;4176.0;100.0
2.0;0.0;4793.0;4567.0;110.0
2.0;0.0;5114.0;4991.0;120.0
2.0;0.0;5537.0;5384.0;130.0
2.0;0.0;5921.0;5722.0;140.0
2.0;0.0;6373.0;6177.0;150.0
2.0;0.0;6771.0;6598.0;160.0
2.0;0.0;7128.0;6907.0;170.0
2.0;0.0;7511.0;7293.0;180.0
2.0;0.0;8055.0;7758.0;190.0
2.0;0.0;8400.0;8116.0;200.0
2.0;0.0;8843.0;8458.0;210.0
2.0;0.0;9192.0;8917.0;220.0
2.0;0.0;9481.0;9375.0;230.0
2.0;0.0;9685.0;9710.0;240.0
2.0;0.0;10040.0;10169.0;250.0
2.0;0.0;395.0;445.0;5.0
2.0;0.0;818.0;863.0;15.0
2.0;0.0;1217.0;1236.0;25.0
2.0;0.0;1649.0;1631.0;35.0
2.0;0.0;2072.0;2028.0;45.0
2.0;0.0;2480.0;2394.0;55.0
2.0;0.0;2855.0;2844.0;65.0
2.0;0.0;3288.0;3260.0;75.0
2.0;0.0;3663.0;3570.0;85.0
2.0;0.0;4106.0;4087.0;95.0
2.0;0.0;4604.0;4382.0;105.0
2.0;0.0;4978.0;4795.0;115.0
2.0;0.0;5317.0;5159.0;125.0
2.0;0.0;5727.0;5582.0;135.0
2.0;0.0;6151.0;5952.0;145.0
2.0;0.0;6551.0;6399.0;155.0
2.0;0.0;7085.0;6847.0;165.0
2.0;0.0;7361.0;7139.0;175.0
2.0;0.0;7786.0;7465.0;185.0
2.0;0.0;8244.0;7957.0;195.0
2.0;0.0;8523.0;8362.0;205.0
2.0;0.0;8731.0;8745.0;215.0
2.0;0.0;9092.0;9124.0;225.0
2.0;0.0;9341.0;9418.0;235.0
2.0;0.0;9864.0;9890.0;245.0
2.0;0.0;281.0;282.0;0.0
2.0;0.0;594.0;669.0;10.0
2.0;0.0;1041.0;1045.0;20.0
2.0;0.0;1428.0;1476.0;30.0
2.0;0.0;1815.0;1806.0;40.0
2.0;0.0;2248.0;2270.0;50.0
2.0;0.0;2707.0;2658.0;60.0
2.0;0.0;3088.0;3048.0;70.0
2.0;0.0;3417.0;3387.0;80.0
2.0;0.0;3913.0;3842.0;90.0
2.0;0.0;4318.0;4222.0;100.0
2.0;0.0;4692.0;4562.0;110.0
2.0;0.0;5183.0;5008.0;120.0
2.0;0.0;5495.0;5357.0;130.0
2.0;0.0;5942.0;5728.0;140.0
2.0;0.0;6264.0;6139.0;150.0
2.0;0.0;6850.0;6561.0;160.0
2.0;0.0;7211.0;6908.0;170.0
2.0;0.0;7557.0;7299.0;180.0
2.0;0.0;7795.0;7646.0;190.0
2.0;0.0;8125.0;8037.0;200.0
2.0;0.0;8513.0;8410.0;210.0
2.0;0.0;8806.0;8891.0;220.0
2.0;0.0;9118.0;9142.0;230.0
2.0;0.0;9608.0;9648.0;240.0
2.0;0.0;9961.0;10044.0;250.0
2.0;0.0;395.0;444.0;5.0
2.0;0.0;819.0;851.0;15.0
2.0;0.0;1229.0;1246.0;25.0
2.0;0.0;1650.0;1649.0;35.0
2.0;0.0;2068.0;1998.0;45.0
2.0;0.0;2478.0;2413.0;55.0
2.0;0.0;2878.0;2804.0;65.0
2.0;0.0;3263.0;3199.0;75.0
2.0;0.0;3684.0;3563.0;85.0
2.0;0.0;4146.0;3968.0;95.0
2.0;0.0;4502.0;4364.0;105.0
2.0;0.0;4911.0;4762.0;115.0
2.0;0.0;5362.0;5218.0;125.0
2.0;0.0;5822.0;5577.0;135.0
2.0;0.0;6193.0;5937.0;145.0
2.0;0.0;6613.0;6382.0;155.0
2.0;0.0;6934.0;6682.0;165.0
2.0;0.0;7311.0;7129.0;175.0
2.0;0.0;7459.0;7478.0;185.0
2.0;0.0;7965.0;7888.0;195.0
2.0;0.0;8304.0;8353.0;205.0
2.0;0.0;8584.0;8586.0;215.0
2.0;0.0;9009.0;9044.0;225.0
2.0;0.0;9432.0;9520.0;235.0
2.0;0.0;9995.0;9853.0;245.0
2.0;0.0;282.0;283.0;0.0
2.0;0.0;579.0;654.0;10.0
2.0;0.0;1022.0;1055.0;20.0
2.0;0.0;1435.0;1449.0;30.0
2.0;0.0;1810.0;1806.0;40.0
2.0;0.0;2250.0;2254.0;50.0
2.0;0.0;2668.0;2637.0;60.0
2.0;0.0;3088.0;3011.0;70.0
2.0;0.0;3492.0;3400.0;80.0
2.0;0.0;3915.0;3820.0;90.0
2.0;0.0;4357.0;4217.0;100.0
2.0;0.0;4724.0;4572.0;110.0
2.0;0.0;5160.0;4998.0;120.0
2.0;0.0;5545.0;5382.0;130.0
2.0;0.0;5958.0;5701.0;140.0
2.0;0.0;6405.0;6153.0;150.0
2.0;0.0;6749.0;6538.0;160.0
2.0;0.0;6999.0;6889.0;170.0
2.0;0.0;7310.0;7215.0;180.0
2.0;0.0;7747.0;7692.0;190.0
2.0;0.0;8147.0;8138.0;200.0
2.0;0.0;8393.0;8423.0;210.0
2.0;0.0;8684.0;8815.0;220.0
2.0;0.0;9189.0;9285.0;230.0
2.0;0.0;9873.0;9739.0;240.0
2.0;0.0;10301.0;10078.0;250.0
2.0;0.0;393.0;437.0;5.0
2.0;0.0;804.0;866.0;15.0
2.0;0.0;1193.0;1238.0;25.0
2.0;0.0;1631.0;1620.0;35.0
2.0;0.0;2046.0;2040.0;45.0
2.0;0.0;2425.0;2450.0;55.0
2.0;0.0;2895.0;2806.0;65.0
2.0;0.0;3277.0;3231.0;75.0
2.0;0.0;3758.0;3627.0;85.0
2.0;0.0;4068.0;3934.0;95.0
