CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS
2.0;0.6;592.0;355.0;10.0
2.0;0.6;1017.0;501.0;20.0
2.0;0.6;1468.0;623.0;30.0
2.0;0.6;1842.0;718.0;40.0
2.0;0.6;2215.0;866.0;50.0
2.0;0.6;2657.0;987.0;60.0
2.0;0.6;3057.0;1141.0;70.0
2.0;0.6;3471.0;1248.0;80.0
2.0;0.6;3840.0;1342.0;90.0
2.0;0.6;4260.0;1480.0;100.0
2.0;0.6;4761.0;1597.0;110.0
2.0;0.6;5139.0;1782.0;120.0
2.0;0.6;5497.0;1836.0;130.0
2.0;0.6;5936.0;1959.0;140.0
2.0;0.6;6335.0;2091.0;150.0
2.0;0.6;6789.0;2181.0;160.0
2.0;0.6;7079.0;2281.0;170.0
2.0;0.6;7628.0;2391.0;180.0
2.0;0.6;7969.0;2529.0;190.0
2.0;0.6;8310.0;2818.0;200.0
2.0;0.6;8841.0;3184.0;210.0
2.0;0.6;9209.0;3325.0;220.0
2.0;0.6;9501.0;3487.0;230.0
2.0;0.6;10064.0;3691.0;240.0
2.0;0.6;10473.0;3896.0;250.0
2.0;0.6;396.0;293.0;5.0
2.0;0.6;810.0;409.0;15.0
2.0;0.6;1236.0;545.0;25.0
2.0;0.6;1658.0;681.0;35.0
2.0;0.6;2010.0;775.0;45.0
2.0;0.6;2442.0;928.0;55.0
2.0;0.6;2871.0;1038.0;65.0
2.0;0.6;3269.0;1154.0;75.0
2.0;0.6;3666.0;1272.0;85.0
2.0;0.6;4069.0;1391.0;95.0
2.0;0.6;4472.0;1519.0;105.0
2.0;0.6;4975.0;1679.0;115.0
2.0;0.6;5313.0;1763.0;125.0
2.0;0.6;5691.0;1888.0;135.0
2.0;0.6;6092.0;2018.0;145.0
2.0;0.6;6520.0;2260.0;155.0
2.0;0.6;7016.0;2339.0;165.0
2.0;0.6;7279.0;2522.0;175.0
2.0;0.6;7798.0;2802.0;185.0
2.0;0.6;8164.0;3061.0;195.0
2.0;0.6;8581.0;3245.0;205.0
2.0;0.6;8967.0;3304.0;215.0
2.0;0.6;9401.0;3533.0;225.0
2.0;0.6;9719.0;3685.0;235.0
2.0;0.6;10265.0;4654.0;245.0
2.0;0.6;280.0;280.0;0.0
2.0;0.6;604.0;357.0;10.0
2.0;0.6;1033.0;494.0;20.0
2.0;0.6;1413.0;603.0;30.0
2.0;0.6;1822.0;702.0;40.0
2.0;0.6;2212.0;846.0;50.0
2.0;0.6;2653.0;1008.0;60.0
2.0;0.6;3051.0;1089.0;70.0
2.0;0.6;3446.0;1225.0;80.0
2.0;0.6;3834.0;1322.0;90.0
2.0;0.6;4356.0;1451.0;100.0
2.0;0.6;4738.0;1592.0;110.0
2.0;0.6;5120.0;1739.0;120.0
2.0;0.6;5427.0;1773.0;130.0
2.0;0.6;5937.0;1952.0;140.0
2.0;0.6;6395.0;2253.0;150.0
2.0;0.6;6727.0;2307.0;160.0
2.0;0.6;7107.0;2514.0;170.0
2.0;0.6;7579.0;2818.0;180.0
2.0;0.6;7893.0;2960.0;190.0
2.0;0.6;8302.0;3188.0;200.0
2.0;0.6;8750.0;3493.0;210.0
2.0;0.6;9055.0;3747.0;220.0
2.0;0.6;9555.0;4293.0;230.0
2.0;0.6;9984.0;5033.0;240.0
2.0;0.6;10624.0;5331.0;250.0
2.0;0.6;395.0;291.0;5.0
2.0;0.6;804.0;409.0;15.0
2.0;0.6;1236.0;538.0;25.0
2.0;0.6;1637.0;680.0;35.0
2.0;0.6;2031.0;775.0;45.0
2.0;0.6;2415.0;895.0;55.0
2.0;0.6;2904.0;1040.0;65.0
2.0;0.6;3305.0;1147.0;75.0
2.0;0.6;3636.0;1245.0;85.0
2.0;0.6;4025.0;1383.0;95.0
2.0;0.6;4500.0;1550.0;105.0
2.0;0.6;4878.0;1669.0;115.0
2.0;0.6;5277.0;1789.0;125.0
2.0;0.6;5706.0;1941.0;135.0
2.0;0.6;6089.0;2144.0;145.0
2.0;0.6;6552.0;2467.0;155.0
2.0;0.6;6904.0;2622.0;165.0
2.0;0.6;7308.0;2752.0;175.0
2.0;0.6;7847.0;2850.0;185.0
