CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS;
2;0.7;596.0;285.0;10;
2;0.7;990.0;326.0;20;
2;0.7;1404.0;354.0;30;
2;0.7;1753.0;386.0;40;
2;0.7;2156.0;427.0;50;
2;0.7;2528.0;469.0;60;
2;0.7;2945.0;513.0;70;
2;0.7;3347.0;548.0;80;
2;0.7;3651.0;577.0;90;
2;0.7;4138.0;633.0;100;
2;0.7;4465.0;670.0;110;
2;0.7;4842.0;703.0;120;
2;0.7;5208.0;742.0;130;
2;0.7;5649.0;767.0;140;
2;0.7;5993.0;823.0;150;
2;0.7;6442.0;881.0;160;
2;0.7;6773.0;888.0;170;
2;0.7;7243.0;956.0;180;
2;0.7;7631.0;1009.0;190;
2;0.7;8035.0;1018.0;200;
2;0.7;8496.0;1085.0;210;
2;0.7;8956.0;1125.0;220;
2;0.7;9410.0;1178.0;230;
2;0.7;9862.0;1206.0;240;
2;0.7;10165.0;1232.0;250;
2;0.7;391.0;281.0;5;
2;0.7;789.0;294.0;15;
2;0.7;1195.0;341.0;25;
2;0.7;1589.0;369.0;35;
2;0.7;1930.0;396.0;45;
2;0.7;2356.0;450.0;55;
2;0.7;2754.0;504.0;65;
2;0.7;3115.0;517.0;75;
2;0.7;3520.0;550.0;85;
2;0.7;3932.0;588.0;95;
2;0.7;4261.0;649.0;105;
2;0.7;4632.0;686.0;115;
2;0.7;5049.0;719.0;125;
2;0.7;5456.0;748.0;135;
2;0.7;5829.0;799.0;145;
2;0.7;6318.0;850.0;155;
2;0.7;6619.0;873.0;165;
2;0.7;7057.0;908.0;175;
2;0.7;7385.0;954.0;185;
2;0.7;7827.0;997.0;195;
2;0.7;8203.0;1060.0;205;
2;0.7;8727.0;1089.0;215;
2;0.7;9062.0;1114.0;225;
2;0.7;9624.0;1156.0;235;
2;0.7;10048.0;1223.0;245;
2;0.7;274.0;279.0;0;
2;0.7;607.0;289.0;10;
2;0.7;996.0;319.0;20;
2;0.7;1379.0;350.0;30;
2;0.7;1756.0;385.0;40;
2;0.7;2168.0;408.0;50;
2;0.7;2533.0;469.0;60;
2;0.7;2887.0;512.0;70;
2;0.7;3307.0;553.0;80;
2;0.7;3676.0;566.0;90;
2;0.7;4124.0;629.0;100;
2;0.7;4511.0;672.0;110;
2;0.7;4930.0;708.0;120;
2;0.7;5251.0;716.0;130;
2;0.7;5654.0;777.0;140;
2;0.7;6113.0;829.0;150;
2;0.7;6496.0;861.0;160;
2;0.7;6809.0;894.0;170;
2;0.7;7166.0;908.0;180;
2;0.7;7632.0;944.0;190;
2;0.7;8129.0;1014.0;200;
2;0.7;8491.0;1040.0;210;
2;0.7;8896.0;1090.0;220;
2;0.7;9399.0;1135.0;230;
2;0.7;9853.0;1179.0;240;
2;0.7;10316.0;1248.0;250;
2;0.7;396.0;277.0;5;
2;0.7;803.0;298.0;15;
2;0.7;1205.0;334.0;25;
2;0.7;1575.0;368.0;35;
2;0.7;1949.0;389.0;45;
2;0.7;2364.0;433.0;55;
2;0.7;2776.0;496.0;65;
2;0.7;3107.0;527.0;75;
2;0.7;3446.0;549.0;85;
2;0.7;3866.0;583.0;95;
2;0.7;4323.0;642.0;105;
2;0.7;4744.0;682.0;115;
2;0.7;5144.0;700.0;125;
2;0.7;5429.0;726.0;135;
2;0.7;5826.0;773.0;145;
2;0.7;6280.0;838.0;155;
2;0.7;6591.0;846.0;165;
2;0.7;7033.0;901.0;175;
2;0.7;7366.0;905.0;185;
2;0.7;7908.0;971.0;195;
2;0.7;8276.0;1012.0;205;
2;0.7;8678.0;1062.0;215;
2;0.7;9172.0;1123.0;225;
2;0.7;9611.0;1127.0;235;
2;0.7;10022.0;1204.0;245;
2;0.7;275.0;276.0;0;
2;0.7;596.0;286.0;10;
2;0.7;997.0;323.0;20;
2;0.7;1403.0;342.0;30;
2;0.7;1723.0;371.0;40;
2;0.7;2133.0;411.0;50;
2;0.7;2590.0;460.0;60;
2;0.7;2929.0;509.0;70;
2;0.7;3277.0;528.0;80;
2;0.7;3696.0;566.0;90;
2;0.7;4137.0;613.0;100;
2;0.7;4486.0;647.0;110;
2;0.7;4870.0;676.0;120;
2;0.7;5283.0;714.0;130;
2;0.7;5699.0;745.0;140;
2;0.7;6017.0;812.0;150;
2;0.7;6473.0;855.0;160;
2;0.7;6822.0;885.0;170;
2;0.7;7197.0;875.0;180;
2;0.7;7787.0;940.0;190;
2;0.7;8218.0;989.0;200;
2;0.7;8660.0;1026.0;210;
2;0.7;9009.0;1083.0;220;
2;0.7;9445.0;1105.0;230;
2;0.7;9878.0;1157.0;240;
2;0.7;10200.0;1197.0;250;
2;0.7;394.0;283.0;5;
2;0.7;798.0;294.0;15;
2;0.7;1173.0;326.0;25;
2;0.7;1553.0;368.0;35;
2;0.7;1944.0;389.0;45;
2;0.7;2308.0;430.0;55;
2;0.7;2720.0;482.0;65;
2;0.7;3171.0;506.0;75;
2;0.7;3474.0;536.0;85;
2;0.7;3898.0;581.0;95;
2;0.7;4354.0;621.0;105;
2;0.7;4748.0;664.0;115;
2;0.7;5060.0;697.0;125;
2;0.7;5407.0;717.0;135;
2;0.7;5810.0;756.0;145;
2;0.7;6197.0;810.0;155;
2;0.7;6722.0;844.0;165;
2;0.7;6927.0;861.0;175;
2;0.7;7517.0;899.0;185;
2;0.7;7888.0;930.0;195;
2;0.7;8411.0;992.0;205;
2;0.7;8694.0;1039.0;215;
2;0.7;9242.0;1066.0;225;
2;0.7;9534.0;1119.0;235;
2;0.7;10132.0;1181.0;245;
2;0.7;277.0;280.0;0;
2;0.7;582.0;282.0;10;
2;0.7;1006.0;298.0;20;
2;0.7;1386.0;339.0;30;
2;0.7;1747.0;359.0;40;
2;0.7;2188.0;410.0;50;
2;0.7;2490.0;452.0;60;
2;0.7;2927.0;499.0;70;
2;0.7;3350.0;527.0;80;
2;0.7;3733.0;546.0;90;
2;0.7;4081.0;595.0;100;
2;0.7;4520.0;649.0;110;
2;0.7;4896.0;675.0;120;
2;0.7;5309.0;702.0;130;
2;0.7;5666.0;733.0;140;
2;0.7;6011.0;789.0;150;
2;0.7;6443.0;846.0;160;
2;0.7;6834.0;854.0;170;
2;0.7;7255.0;876.0;180;
2;0.7;7806.0;921.0;190;
2;0.7;8078.0;959.0;200;
2;0.7;8489.0;1006.0;210;
2;0.7;8970.0;1056.0;220;
2;0.7;9367.0;1094.0;230;
2;0.7;9885.0;1137.0;240;
2;0.7;10403.0;1192.0;250;
2;0.7;396.0;283.0;5;
2;0.7;808.0;299.0;15;
2;0.7;1192.0;330.0;25;
2;0.7;1584.0;352.0;35;
2;0.7;1949.0;386.0;45;
2;0.7;2309.0;428.0;55;
2;0.7;2713.0;476.0;65;
2;0.7;3161.0;498.0;75;
2;0.7;3469.0;539.0;85;
2;0.7;3894.0;550.0;95;
2;0.7;4293.0;609.0;105;
2;0.7;4703.0;648.0;115;
2;0.7;5005.0;671.0;125;
2;0.7;5394.0;701.0;135;
2;0.7;5882.0;746.0;145;
2;0.7;6293.0;799.0;155;
2;0.7;6696.0;823.0;165;
2;0.7;7182.0;856.0;175;
2;0.7;7485.0;881.0;185;
2;0.7;7937.0;935.0;195;
2;0.7;8331.0;976.0;205;
2;0.7;8854.0;1047.0;215;
2;0.7;9290.0;1062.0;225;
2;0.7;9649.0;1111.0;235;
2;0.7;10232.0;1161.0;245;
2;0.7;278.0;280.0;0;
2;0.7;588.0;286.0;10;
2;0.7;981.0;319.0;20;
2;0.7;1388.0;336.0;30;
2;0.7;1772.0;362.0;40;
2;0.7;2146.0;410.0;50;
2;0.7;2525.0;450.0;60;
2;0.7;2933.0;490.0;70;
2;0.7;3262.0;516.0;80;
2;0.7;3667.0;546.0;90;
2;0.7;4078.0;589.0;100;
2;0.7;4555.0;646.0;110;
2;0.7;4892.0;659.0;120;
2;0.7;5233.0;681.0;130;
2;0.7;5721.0;719.0;140;
2;0.7;5968.0;768.0;150;
2;0.7;6431.0;814.0;160;
2;0.7;6898.0;852.0;170;
2;0.7;7336.0;871.0;180;
2;0.7;7775.0;913.0;190;
2;0.7;8202.0;956.0;200;
2;0.7;8637.0;1019.0;210;
2;0.7;8908.0;1042.0;220;
2;0.7;9391.0;1063.0;230;
2;0.7;9828.0;1104.0;240;
2;0.7;10336.0;1168.0;250;
2;0.7;390.0;276.0;5;
2;0.7;781.0;292.0;15;
2;0.7;1177.0;322.0;25;
2;0.7;1578.0;354.0;35;
2;0.7;1918.0;381.0;45;
2;0.7;2328.0;430.0;55;
2;0.7;2733.0;474.0;65;
2;0.7;3164.0;485.0;75;
2;0.7;3520.0;526.0;85;
2;0.7;3904.0;564.0;95;
2;0.7;4297.0;610.0;105;
2;0.7;4675.0;643.0;115;
2;0.7;5021.0;661.0;125;
2;0.7;5461.0;697.0;135;
2;0.7;5922.0;756.0;145;
2;0.7;6357.0;794.0;155;
2;0.7;6772.0;818.0;165;
2;0.7;7143.0;847.0;175;
2;0.7;7439.0;893.0;185;
2;0.7;8013.0;925.0;195;
2;0.7;8486.0;988.0;205;
2;0.7;8762.0;1027.0;215;
2;0.7;9251.0;1031.0;225;
2;0.7;9721.0;1091.0;235;
2;0.7;10231.0;1129.0;245;
2;0.7;278.0;280.0;0;
2;0.7;590.0;286.0;10;
2;0.7;983.0;306.0;20;
2;0.7;1378.0;340.0;30;
2;0.7;1716.0;365.0;40;
2;0.7;2123.0;410.0;50;
2;0.7;2512.0;446.0;60;
2;0.7;2934.0;489.0;70;
2;0.7;3346.0;514.0;80;
2;0.7;3690.0;542.0;90;
2;0.7;4083.0;571.0;100;
2;0.7;4493.0;634.0;110;
2;0.7;4822.0;649.0;120;
2;0.7;5224.0;683.0;130;
2;0.7;5647.0;725.0;140;
2;0.7;6041.0;748.0;150;
2;0.7;6562.0;815.0;160;
2;0.7;6917.0;829.0;170;
2;0.7;7299.0;856.0;180;
2;0.7;7846.0;901.0;190;
2;0.7;8281.0;954.0;200;
2;0.7;8557.0;1001.0;210;
2;0.7;9103.0;1033.0;220;
2;0.7;9463.0;1056.0;230;
2;0.7;9946.0;1108.0;240;
2;0.7;10493.0;1170.0;250;
2;0.7;394.0;280.0;5;
2;0.7;785.0;291.0;15;
2;0.7;1186.0;329.0;25;
2;0.7;1551.0;347.0;35;
2;0.7;1972.0;386.0;45;
2;0.7;2323.0;431.0;55;
2;0.7;2719.0;472.0;65;
2;0.7;3065.0;488.0;75;
2;0.7;3486.0;524.0;85;
2;0.7;3929.0;560.0;95;
2;0.7;4362.0;605.0;105;
2;0.7;4654.0;639.0;115;
2;0.7;5047.0;667.0;125;
2;0.7;5457.0;693.0;135;
2;0.7;5869.0;746.0;145;
2;0.7;6308.0;793.0;155;
2;0.7;6763.0;817.0;165;
2;0.7;7142.0;850.0;175;
2;0.7;7508.0;873.0;185;
2;0.7;8050.0;926.0;195;
