CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS
2.0;0.4;627.0;566.0;10.0
2.0;0.4;1026.0;940.0;20.0
2.0;0.4;1444.0;1328.0;30.0
2.0;0.4;1795.0;1665.0;40.0
2.0;0.4;2261.0;2030.0;50.0
2.0;0.4;2639.0;2372.0;60.0
2.0;0.4;3036.0;2782.0;70.0
2.0;0.4;3419.0;3085.0;80.0
2.0;0.4;3897.0;3478.0;90.0
2.0;0.4;4240.0;3793.0;100.0
2.0;0.4;4703.0;4228.0;110.0
2.0;0.4;5038.0;4559.0;120.0
2.0;0.4;5411.0;4872.0;130.0
2.0;0.4;5848.0;5336.0;140.0
2.0;0.4;6244.0;5541.0;150.0
2.0;0.4;6597.0;5740.0;160.0
2.0;0.4;7054.0;6271.0;170.0
2.0;0.4;7387.0;6756.0;180.0
2.0;0.4;7746.0;6942.0;190.0
2.0;0.4;8163.0;7222.0;200.0
2.0;0.4;8610.0;7582.0;210.0
2.0;0.4;8961.0;7935.0;220.0
2.0;0.4;9305.0;8352.0;230.0
2.0;0.4;9762.0;8722.0;240.0
2.0;0.4;10079.0;8955.0;250.0
2.0;0.4;388.0;349.0;5.0
2.0;0.4;834.0;725.0;15.0
2.0;0.4;1251.0;1073.0;25.0
2.0;0.4;1614.0;1387.0;35.0
2.0;0.4;2022.0;1714.0;45.0
2.0;0.4;2478.0;2053.0;55.0
2.0;0.4;2848.0;2404.0;65.0
2.0;0.4;3331.0;2709.0;75.0
2.0;0.4;3652.0;3032.0;85.0
2.0;0.4;4041.0;3406.0;95.0
2.0;0.4;4438.0;3754.0;105.0
2.0;0.4;4848.0;4105.0;115.0
2.0;0.4;5237.0;4478.0;125.0
2.0;0.4;5602.0;4806.0;135.0
2.0;0.4;6121.0;5134.0;145.0
2.0;0.4;6338.0;5429.0;155.0
2.0;0.4;6873.0;5839.0;165.0
2.0;0.4;7140.0;6039.0;175.0
2.0;0.4;7585.0;6471.0;185.0
2.0;0.4;7970.0;6886.0;195.0
2.0;0.4;8459.0;7002.0;205.0
2.0;0.4;8740.0;7576.0;215.0
2.0;0.4;9189.0;8003.0;225.0
2.0;0.4;9405.0;8217.0;235.0
2.0;0.4;9931.0;8509.0;245.0
2.0;0.4;276.0;280.0;0.0
2.0;0.4;617.0;538.0;10.0
2.0;0.4;1034.0;867.0;20.0
2.0;0.4;1468.0;1183.0;30.0
2.0;0.4;1818.0;1503.0;40.0
2.0;0.4;2258.0;1866.0;50.0
2.0;0.4;2670.0;2166.0;60.0
2.0;0.4;3060.0;2519.0;70.0
2.0;0.4;3447.0;2839.0;80.0
2.0;0.4;3840.0;3142.0;90.0
2.0;0.4;4244.0;3420.0;100.0
2.0;0.4;4672.0;3728.0;110.0
2.0;0.4;5118.0;4121.0;120.0
2.0;0.4;5427.0;4537.0;130.0
2.0;0.4;5828.0;4845.0;140.0
2.0;0.4;6237.0;5097.0;150.0
2.0;0.4;6621.0;5443.0;160.0
2.0;0.4;6988.0;5761.0;170.0
2.0;0.4;7372.0;6058.0;180.0
2.0;0.4;7758.0;6444.0;190.0
2.0;0.4;8174.0;6751.0;200.0
2.0;0.4;8469.0;7131.0;210.0
2.0;0.4;8970.0;7416.0;220.0
2.0;0.4;9279.0;7778.0;230.0
2.0;0.4;9641.0;8319.0;240.0
2.0;0.4;10124.0;8558.0;250.0
2.0;0.4;393.0;352.0;5.0
2.0;0.4;842.0;697.0;15.0
2.0;0.4;1265.0;1021.0;25.0
2.0;0.4;1620.0;1350.0;35.0
2.0;0.4;2016.0;1647.0;45.0
2.0;0.4;2446.0;1939.0;55.0
2.0;0.4;2856.0;2318.0;65.0
2.0;0.4;3268.0;2680.0;75.0
2.0;0.4;3598.0;2862.0;85.0
2.0;0.4;4118.0;3271.0;95.0
2.0;0.4;4380.0;3528.0;105.0
2.0;0.4;4824.0;3924.0;115.0
2.0;0.4;5202.0;4189.0;125.0
2.0;0.4;5677.0;4537.0;135.0
2.0;0.4;6027.0;4815.0;145.0
2.0;0.4;6496.0;5223.0;155.0
2.0;0.4;6822.0;5475.0;165.0
2.0;0.4;7105.0;5779.0;175.0
2.0;0.4;7666.0;6143.0;185.0
2.0;0.4;7969.0;6601.0;195.0
2.0;0.4;8310.0;6872.0;205.0
2.0;0.4;8715.0;7131.0;215.0
2.0;0.4;9146.0;7431.0;225.0
2.0;0.4;9513.0;7860.0;235.0
2.0;0.4;9992.0;8273.0;245.0
2.0;0.4;274.0;279.0;0.0
2.0;0.4;618.0;539.0;10.0
2.0;0.4;1044.0;849.0;20.0
2.0;0.4;1435.0;1171.0;30.0
2.0;0.4;1826.0;1447.0;40.0
2.0;0.4;2241.0;1813.0;50.0
2.0;0.4;2683.0;2121.0;60.0
2.0;0.4;3110.0;2418.0;70.0
2.0;0.4;3410.0;2866.0;80.0
2.0;0.4;3861.0;3005.0;90.0
2.0;0.4;4221.0;3370.0;100.0
2.0;0.4;4621.0;3642.0;110.0
2.0;0.4;5061.0;4104.0;120.0
2.0;0.4;5388.0;4359.0;130.0
2.0;0.4;5827.0;4548.0;140.0
2.0;0.4;6194.0;4997.0;150.0
2.0;0.4;6618.0;5291.0;160.0
2.0;0.4;6903.0;5536.0;170.0
2.0;0.4;7299.0;5895.0;180.0
2.0;0.4;7772.0;6352.0;190.0
2.0;0.4;8188.0;6697.0;200.0
2.0;0.4;8602.0;7048.0;210.0
2.0;0.4;8909.0;7362.0;220.0
2.0;0.4;9316.0;7562.0;230.0
2.0;0.4;9661.0;7910.0;240.0
2.0;0.4;10053.0;8090.0;250.0
2.0;0.4;394.0;364.0;5.0
2.0;0.4;830.0;702.0;15.0
2.0;0.4;1261.0;1010.0;25.0
2.0;0.4;1664.0;1314.0;35.0
2.0;0.4;2004.0;1644.0;45.0
2.0;0.4;2489.0;1948.0;55.0
2.0;0.4;2823.0;2279.0;65.0
2.0;0.4;3294.0;2611.0;75.0
2.0;0.4;3622.0;2902.0;85.0
2.0;0.4;4078.0;3206.0;95.0
2.0;0.4;4448.0;3539.0;105.0
2.0;0.4;4856.0;3793.0;115.0
2.0;0.4;5198.0;4090.0;125.0
2.0;0.4;5618.0;4406.0;135.0
2.0;0.4;6070.0;4788.0;145.0
2.0;0.4;6502.0;5182.0;155.0
2.0;0.4;6725.0;5377.0;165.0
2.0;0.4;7162.0;5753.0;175.0
2.0;0.4;7531.0;6031.0;185.0
2.0;0.4;7989.0;6434.0;195.0
2.0;0.4;8336.0;7043.0;205.0
2.0;0.4;8633.0;6904.0;215.0
2.0;0.4;9143.0;7470.0;225.0
2.0;0.4;9532.0;7719.0;235.0
2.0;0.4;9814.0;8037.0;245.0
2.0;0.4;279.0;282.0;0.0
2.0;0.4;641.0;548.0;10.0
2.0;0.4;1022.0;830.0;20.0
2.0;0.4;1484.0;1199.0;30.0
2.0;0.4;1808.0;1468.0;40.0
2.0;0.4;2236.0;1807.0;50.0
2.0;0.4;2660.0;2156.0;60.0
2.0;0.4;3036.0;2443.0;70.0
2.0;0.4;3441.0;2806.0;80.0
2.0;0.4;3772.0;3119.0;90.0
2.0;0.4;4317.0;3410.0;100.0
2.0;0.4;4680.0;3847.0;110.0
2.0;0.4;5130.0;4202.0;120.0
2.0;0.4;5337.0;4273.0;130.0
2.0;0.4;5844.0;4665.0;140.0
2.0;0.4;6196.0;4987.0;150.0
2.0;0.4;6627.0;5316.0;160.0
2.0;0.4;6933.0;5569.0;170.0
2.0;0.4;7340.0;5938.0;180.0
2.0;0.4;7668.0;6176.0;190.0
2.0;0.4;8141.0;6595.0;200.0
2.0;0.4;8436.0;6841.0;210.0
2.0;0.4;8901.0;7073.0;220.0
2.0;0.4;9340.0;7541.0;230.0
2.0;0.4;9647.0;7685.0;240.0
2.0;0.4;10599.0;8889.0;250.0
2.0;0.4;391.0;362.0;5.0
2.0;0.4;817.0;710.0;15.0
2.0;0.4;1247.0;1042.0;25.0
2.0;0.4;1618.0;1450.0;35.0
2.0;0.4;2018.0;1720.0;45.0
2.0;0.4;2424.0;2049.0;55.0
2.0;0.4;2875.0;2335.0;65.0
2.0;0.4;3202.0;2747.0;75.0
2.0;0.4;3683.0;2994.0;85.0
2.0;0.4;4018.0;3419.0;95.0
2.0;0.4;4422.0;3725.0;105.0
2.0;0.4;4835.0;3936.0;115.0
2.0;0.4;5219.0;4300.0;125.0
2.0;0.4;5614.0;4565.0;135.0
2.0;0.4;6046.0;5072.0;145.0
2.0;0.4;6350.0;5044.0;155.0
2.0;0.4;6884.0;5791.0;165.0
2.0;0.4;7181.0;5810.0;175.0
2.0;0.4;7471.0;6306.0;185.0
2.0;0.4;7926.0;6438.0;195.0
2.0;0.4;8312.0;6789.0;205.0
2.0;0.4;8702.0;6913.0;215.0
2.0;0.4;9040.0;7207.0;225.0
2.0;0.4;9923.0;8253.0;235.0
2.0;0.4;10245.0;8455.0;245.0
2.0;0.4;275.0;278.0;0.0
2.0;0.4;631.0;554.0;10.0
2.0;0.4;1040.0;890.0;20.0
2.0;0.4;1446.0;1219.0;30.0
2.0;0.4;1784.0;1590.0;40.0
2.0;0.4;2218.0;1945.0;50.0
2.0;0.4;2694.0;2206.0;60.0
2.0;0.4;3027.0;2675.0;70.0
2.0;0.4;3476.0;2889.0;80.0
2.0;0.4;3783.0;3381.0;90.0
2.0;0.4;4230.0;3692.0;100.0
2.0;0.4;4622.0;3747.0;110.0
2.0;0.4;5009.0;4220.0;120.0
2.0;0.4;5413.0;4719.0;130.0
2.0;0.4;5836.0;4878.0;140.0
2.0;0.4;6166.0;5150.0;150.0
2.0;0.4;6558.0;5586.0;160.0
2.0;0.4;6920.0;5752.0;170.0
2.0;0.4;7349.0;5907.0;180.0
2.0;0.4;7724.0;6179.0;190.0
2.0;0.4;8071.0;6806.0;200.0
2.0;0.4;8588.0;6880.0;210.0
2.0;0.4;8923.0;7161.0;220.0
2.0;0.4;9581.0;7954.0;230.0
2.0;0.4;10052.0;8180.0;240.0
2.0;0.4;10417.0;8573.0;250.0
2.0;0.4;388.0;361.0;5.0
2.0;0.4;842.0;756.0;15.0
2.0;0.4;1226.0;1094.0;25.0
2.0;0.4;1623.0;1442.0;35.0
2.0;0.4;2033.0;1753.0;45.0
2.0;0.4;2439.0;2153.0;55.0
2.0;0.4;2821.0;2533.0;65.0
2.0;0.4;3262.0;2799.0;75.0
2.0;0.4;3573.0;3118.0;85.0
2.0;0.4;4001.0;3618.0;95.0
2.0;0.4;4419.0;3940.0;105.0
2.0;0.4;4775.0;4163.0;115.0
2.0;0.4;5253.0;4423.0;125.0
2.0;0.4;5572.0;4698.0;135.0
2.0;0.4;6059.0;5106.0;145.0
2.0;0.4;6340.0;5408.0;155.0
2.0;0.4;6756.0;5889.0;165.0
2.0;0.4;7070.0;6106.0;175.0
2.0;0.4;7444.0;6220.0;185.0
2.0;0.4;7864.0;6439.0;195.0
2.0;0.4;8351.0;6641.0;205.0
2.0;0.4;8671.0;7016.0;215.0
2.0;0.4;9448.0;7669.0;225.0
2.0;0.4;9978.0;8082.0;235.0
2.0;0.4;10192.0;8192.0;245.0
2.0;0.4;279.0;281.0;0.0
2.0;0.4;615.0;540.0;10.0
2.0;0.4;1039.0;913.0;20.0
2.0;0.4;1448.0;1241.0;30.0
2.0;0.4;1821.0;1571.0;40.0
2.0;0.4;2218.0;1946.0;50.0
2.0;0.4;2643.0;2214.0;60.0
2.0;0.4;2994.0;2742.0;70.0
2.0;0.4;3426.0;2983.0;80.0
2.0;0.4;3844.0;3439.0;90.0
2.0;0.4;4165.0;3686.0;100.0
2.0;0.4;4636.0;3989.0;110.0
2.0;0.4;5030.0;4410.0;120.0
2.0;0.4;5401.0;4548.0;130.0
2.0;0.4;5797.0;4799.0;140.0
2.0;0.4;6125.0;5266.0;150.0
2.0;0.4;6517.0;5373.0;160.0
2.0;0.4;6970.0;5969.0;170.0
2.0;0.4;7320.0;6323.0;180.0
2.0;0.4;7636.0;6650.0;190.0
2.0;0.4;7970.0;6598.0;200.0
2.0;0.4;8820.0;7302.0;210.0
2.0;0.4;9190.0;7503.0;220.0
2.0;0.4;9768.0;7633.0;230.0
2.0;0.4;10057.0;8083.0;240.0
2.0;0.4;10206.0;8058.0;250.0
2.0;0.4;392.0;354.0;5.0
2.0;0.4;845.0;739.0;15.0
2.0;0.4;1248.0;1117.0;25.0
2.0;0.4;1632.0;1454.0;35.0
2.0;0.4;2000.0;1789.0;45.0
2.0;0.4;2412.0;2120.0;55.0
2.0;0.4;2847.0;2418.0;65.0
2.0;0.4;3260.0;2856.0;75.0
2.0;0.4;3608.0;3257.0;85.0
2.0;0.4;3995.0;3582.0;95.0
2.0;0.4;4372.0;3854.0;105.0
2.0;0.4;4809.0;4301.0;115.0
2.0;0.4;5127.0;4476.0;125.0
2.0;0.4;5491.0;4896.0;135.0
2.0;0.4;5914.0;5055.0;145.0
2.0;0.4;6345.0;5779.0;155.0
2.0;0.4;6713.0;5963.0;165.0
2.0;0.4;7107.0;6039.0;175.0
2.0;0.4;7514.0;6285.0;185.0
2.0;0.4;7973.0;6495.0;195.0
