CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS;
2;0.6;6915.0;3666.0;170;
2;0.6;7380.0;3880.0;180;
2;0.6;7713.0;4030.0;190;
2;0.6;8080.0;4336.0;200;
2;0.6;8487.0;4508.0;210;
2;0.6;8885.0;4724.0;220;
2;0.6;9309.0;4932.0;230;
2;0.6;9787.0;5090.0;240;
2;0.6;10334.0;5411.0;250;
2;0.6;386.0;292.0;5;
2;0.6;767.0;495.0;15;
2;0.6;1143.0;699.0;25;
2;0.6;1494.0;912.0;35;
2;0.6;1915.0;1096.0;45;
2;0.6;2305.0;1315.0;55;
2;0.6;2679.0;1525.0;65;
2;0.6;3045.0;1695.0;75;
2;0.6;3440.0;1927.0;85;
2;0.6;3807.0;2101.0;95;
2;0.6;4230.0;2320.0;105;
2;0.6;4617.0;2531.0;115;
2;0.6;4997.0;2762.0;125;
2;0.6;5327.0;2910.0;135;
2;0.6;5855.0;3172.0;145;
2;0.6;6216.0;3361.0;155;
2;0.6;6668.0;3588.0;165;
2;0.6;7035.0;3773.0;175;
2;0.6;7459.0;3965.0;185;
2;0.6;7879.0;4140.0;195;
2;0.6;8374.0;4446.0;205;
2;0.6;8694.0;4571.0;215;
2;0.6;9041.0;4826.0;225;
2;0.6;9486.0;5095.0;235;
2;0.6;9904.0;5252.0;245;
2;0.6;275.0;277.0;0;
2;0.6;590.0;400.0;10;
2;0.6;936.0;610.0;20;
2;0.6;1357.0;817.0;30;
2;0.6;1697.0;998.0;40;
2;0.6;2054.0;1172.0;50;
2;0.6;2476.0;1425.0;60;
2;0.6;2861.0;1629.0;70;
2;0.6;3286.0;1820.0;80;
2;0.6;3624.0;1995.0;90;
2;0.6;4047.0;2228.0;100;
2;0.6;4415.0;2431.0;110;
2;0.6;4763.0;2653.0;120;
2;0.6;5165.0;2798.0;130;
2;0.6;5639.0;3046.0;140;
2;0.6;6068.0;3255.0;150;
2;0.6;6512.0;3444.0;160;
2;0.6;6898.0;3687.0;170;
2;0.6;7200.0;3864.0;180;
2;0.6;7729.0;4081.0;190;
2;0.6;8039.0;4333.0;200;
2;0.6;8568.0;4531.0;210;
2;0.6;8880.0;4724.0;220;
2;0.6;9272.0;5000.0;230;
2;0.6;9702.0;5084.0;240;
2;0.6;10243.0;5395.0;250;
2;0.6;389.0;296.0;5;
2;0.6;772.0;509.0;15;
2;0.6;1129.0;697.0;25;
2;0.6;1547.0;903.0;35;
2;0.6;1915.0;1103.0;45;
