CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS
2;0.9;634.0;285.0;10
2;0.9;1036.0;298.0;20
2;0.9;1429.0;322.0;30
2;0.9;1814.0;324.0;40
2;0.9;2197.0;353.0;50
2;0.9;2619.0;388.0;60
2;0.9;3047.0;415.0;70
2;0.9;3419.0;429.0;80
2;0.9;3759.0;441.0;90
2;0.9;4183.0;482.0;100
2;0.9;4564.0;505.0;110
2;0.9;4934.0;537.0;120
2;0.9;5364.0;547.0;130
2;0.9;5738.0;579.0;140
2;0.9;6133.0;586.0;150
2;0.9;6517.0;631.0;160
2;0.9;6915.0;669.0;170
2;0.9;7265.0;645.0;180
2;0.9;7711.0;672.0;190
2;0.9;8051.0;725.0;200
2;0.9;8502.0;758.0;210
2;0.9;8906.0;776.0;220
2;0.9;9231.0;788.0;230
2;0.9;9724.0;826.0;240
2;0.9;10104.0;857.0;250
2;0.9;393.0;278.0;5
2;0.9;826.0;282.0;15
2;0.9;1216.0;309.0;25
2;0.9;1615.0;318.0;35
2;0.9;2006.0;335.0;45
2;0.9;2421.0;368.0;55
2;0.9;2852.0;404.0;65
2;0.9;3180.0;435.0;75
2;0.9;3518.0;445.0;85
2;0.9;3945.0;452.0;95
2;0.9;4382.0;496.0;105
2;0.9;4790.0;529.0;115
2;0.9;5140.0;532.0;125
2;0.9;5502.0;549.0;135
2;0.9;5962.0;573.0;145
2;0.9;6325.0;620.0;155
2;0.9;6723.0;650.0;165
2;0.9;7185.0;662.0;175
2;0.9;7584.0;673.0;185
2;0.9;8010.0;709.0;195
2;0.9;8255.0;740.0;205
2;0.9;8688.0;775.0;215
2;0.9;9094.0;785.0;225
2;0.9;9599.0;828.0;235
2;0.9;9757.0;859.0;245
2;0.9;274.0;280.0;0
2;0.9;634.0;282.0;10
2;0.9;1029.0;292.0;20
2;0.9;1439.0;325.0;30
2;0.9;1817.0;317.0;40
2;0.9;2246.0;352.0;50
2;0.9;2604.0;383.0;60
2;0.9;2975.0;413.0;70
2;0.9;3411.0;436.0;80
2;0.9;3762.0;443.0;90
2;0.9;4150.0;479.0;100
2;0.9;4547.0;522.0;110
2;0.9;5037.0;537.0;120
2;0.9;5297.0;539.0;130
2;0.9;5683.0;566.0;140
2;0.9;6066.0;589.0;150
2;0.9;6605.0;643.0;160
2;0.9;6883.0;633.0;170
2;0.9;7282.0;645.0;180
2;0.9;7666.0;679.0;190
2;0.9;8211.0;725.0;200
2;0.9;8614.0;766.0;210
2;0.9;8893.0;773.0;220
2;0.9;9341.0;802.0;230
2;0.9;9666.0;841.0;240
2;0.9;9817.0;880.0;250
2;0.9;394.0;280.0;5
2;0.9;824.0;287.0;15
2;0.9;1230.0;309.0;25
2;0.9;1612.0;318.0;35
2;0.9;1983.0;334.0;45
2;0.9;2392.0;368.0;55
2;0.9;2810.0;397.0;65
2;0.9;3244.0;432.0;75
2;0.9;3539.0;430.0;85
2;0.9;3946.0;463.0;95
2;0.9;4342.0;488.0;105
2;0.9;4802.0;526.0;115
2;0.9;5094.0;524.0;125
2;0.9;5587.0;548.0;135
2;0.9;5897.0;578.0;145
2;0.9;6301.0;623.0;155
2;0.9;6771.0;645.0;165
2;0.9;7082.0;636.0;175
2;0.9;7584.0;677.0;185
2;0.9;7811.0;708.0;195
2;0.9;8345.0;732.0;205
2;0.9;8770.0;771.0;215
2;0.9;9154.0;799.0;225
2;0.9;9365.0;819.0;235
2;0.9;9569.0;863.0;245
2;0.9;274.0;279.0;0
2;0.9;624.0;281.0;10
2;0.9;1024.0;294.0;20
2;0.9;1415.0;324.0;30
2;0.9;1793.0;333.0;40
2;0.9;2199.0;357.0;50
