CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS
2.0;0.8;638.0;279.0;10.0
2.0;0.8;1049.0;287.0;20.0
2.0;0.8;1462.0;302.0;30.0
2.0;0.8;1850.0;319.0;40.0
2.0;0.8;2288.0;339.0;50.0
2.0;0.8;2690.0;369.0;60.0
2.0;0.8;3094.0;400.0;70.0
2.0;0.8;3510.0;439.0;80.0
2.0;0.8;3925.0;439.0;90.0
2.0;0.8;4323.0;453.0;100.0
2.0;0.8;4846.0;481.0;110.0
2.0;0.8;5140.0;516.0;120.0
2.0;0.8;5654.0;529.0;130.0
2.0;0.8;6035.0;529.0;140.0
2.0;0.8;6396.0;550.0;150.0
2.0;0.8;6933.0;588.0;160.0
2.0;0.8;7260.0;625.0;170.0
2.0;0.8;7629.0;613.0;180.0
2.0;0.8;8085.0;614.0;190.0
2.0;0.8;8536.0;643.0;200.0
2.0;0.8;8861.0;662.0;210.0
2.0;0.8;9345.0;668.0;220.0
2.0;0.8;9717.0;689.0;230.0
2.0;0.8;10160.0;704.0;240.0
2.0;0.8;10602.0;712.0;250.0
2.0;0.8;390.0;279.0;5.0
2.0;0.8;845.0;285.0;15.0
2.0;0.8;1269.0;300.0;25.0
2.0;0.8;1663.0;326.0;35.0
2.0;0.8;2080.0;306.0;45.0
2.0;0.8;2465.0;351.0;55.0
2.0;0.8;2907.0;383.0;65.0
2.0;0.8;3348.0;413.0;75.0
2.0;0.8;3725.0;420.0;85.0
2.0;0.8;4110.0;432.0;95.0
2.0;0.8;4543.0;470.0;105.0
2.0;0.8;5033.0;495.0;115.0
2.0;0.8;5280.0;518.0;125.0
2.0;0.8;5826.0;519.0;135.0
2.0;0.8;6232.0;535.0;145.0
2.0;0.8;6714.0;560.0;155.0
2.0;0.8;7092.0;592.0;165.0
2.0;0.8;7466.0;596.0;175.0
2.0;0.8;7822.0;587.0;185.0
2.0;0.8;8316.0;604.0;195.0
2.0;0.8;8784.0;639.0;205.0
2.0;0.8;9119.0;656.0;215.0
2.0;0.8;9395.0;642.0;225.0
2.0;0.8;9885.0;661.0;235.0
2.0;0.8;10212.0;668.0;245.0
2.0;0.8;282.0;285.0;0.0
2.0;0.8;638.0;276.0;10.0
2.0;0.8;1051.0;280.0;20.0
2.0;0.8;1481.0;322.0;30.0
2.0;0.8;1854.0;329.0;40.0
2.0;0.8;2286.0;335.0;50.0
2.0;0.8;2714.0;370.0;60.0
2.0;0.8;3063.0;392.0;70.0
2.0;0.8;3482.0;415.0;80.0
2.0;0.8;3953.0;420.0;90.0
2.0;0.8;4324.0;446.0;100.0
2.0;0.8;4750.0;458.0;110.0
2.0;0.8;5197.0;504.0;120.0
2.0;0.8;5588.0;512.0;130.0
2.0;0.8;5973.0;508.0;140.0
2.0;0.8;6411.0;540.0;150.0
2.0;0.8;6856.0;566.0;160.0
2.0;0.8;7244.0;591.0;170.0
2.0;0.8;7601.0;569.0;180.0
2.0;0.8;8078.0;586.0;190.0
2.0;0.8;8566.0;606.0;200.0
2.0;0.8;8805.0;606.0;210.0
2.0;0.8;9251.0;638.0;220.0
2.0;0.8;9740.0;628.0;230.0
2.0;0.8;10221.0;636.0;240.0
2.0;0.8;10762.0;644.0;250.0
2.0;0.8;395.0;283.0;5.0
2.0;0.8;830.0;286.0;15.0
2.0;0.8;1271.0;297.0;25.0
2.0;0.8;1658.0;325.0;35.0
2.0;0.8;2063.0;326.0;45.0
2.0;0.8;2487.0;353.0;55.0
2.0;0.8;2872.0;379.0;65.0
2.0;0.8;3321.0;411.0;75.0
2.0;0.8;3660.0;412.0;85.0
2.0;0.8;4129.0;417.0;95.0
2.0;0.8;4560.0;451.0;105.0
2.0;0.8;5034.0;477.0;115.0
2.0;0.8;5409.0;510.0;125.0
2.0;0.8;5748.0;497.0;135.0
2.0;0.8;6260.0;515.0;145.0
2.0;0.8;6611.0;540.0;155.0
2.0;0.8;7090.0;566.0;165.0
2.0;0.8;7472.0;558.0;175.0
2.0;0.8;7794.0;558.0;185.0
2.0;0.8;8245.0;582.0;195.0
2.0;0.8;8611.0;584.0;205.0
2.0;0.8;9067.0;610.0;215.0
2.0;0.8;9655.0;622.0;225.0
2.0;0.8;10091.0;604.0;235.0
2.0;0.8;10460.0;615.0;245.0
2.0;0.8;283.0;284.0;0.0
2.0;0.8;622.0;279.0;10.0
2.0;0.8;1043.0;287.0;20.0
2.0;0.8;1467.0;321.0;30.0
2.0;0.8;1863.0;323.0;40.0
2.0;0.8;2284.0;335.0;50.0
2.0;0.8;2687.0;362.0;60.0
2.0;0.8;3085.0;391.0;70.0
2.0;0.8;3551.0;411.0;80.0
2.0;0.8;3921.0;410.0;90.0
2.0;0.8;4329.0;427.0;100.0
2.0;0.8;4691.0;457.0;110.0
2.0;0.8;5164.0;489.0;120.0
2.0;0.8;5568.0;498.0;130.0
2.0;0.8;5949.0;493.0;140.0
2.0;0.8;6428.0;516.0;150.0
2.0;0.8;6863.0;549.0;160.0
2.0;0.8;7171.0;567.0;170.0
2.0;0.8;7533.0;550.0;180.0
2.0;0.8;8076.0;572.0;190.0
2.0;0.8;8490.0;568.0;200.0
2.0;0.8;9011.0;589.0;210.0
2.0;0.8;9426.0;602.0;220.0
2.0;0.8;9759.0;585.0;230.0
2.0;0.8;10277.0;594.0;240.0
2.0;0.8;10761.0;603.0;250.0
2.0;0.8;395.0;283.0;5.0
2.0;0.8;830.0;281.0;15.0
2.0;0.8;1264.0;299.0;25.0
2.0;0.8;1666.0;328.0;35.0
2.0;0.8;2057.0;322.0;45.0
2.0;0.8;2479.0;342.0;55.0
2.0;0.8;2920.0;373.0;65.0
2.0;0.8;3310.0;407.0;75.0
2.0;0.8;3714.0;405.0;85.0
2.0;0.8;4158.0;419.0;95.0
2.0;0.8;4572.0;441.0;105.0
2.0;0.8;4949.0;462.0;115.0
2.0;0.8;5400.0;492.0;125.0
