CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS
2.0;0.6;587.0;388.0;10.0
2.0;0.6;977.0;561.0;20.0
2.0;0.6;1352.0;761.0;30.0
2.0;0.6;1726.0;834.0;40.0
2.0;0.6;2149.0;1150.0;50.0
2.0;0.6;2574.0;1378.0;60.0
2.0;0.6;2936.0;1596.0;70.0
2.0;0.6;3302.0;1640.0;80.0
2.0;0.6;3733.0;2029.0;90.0
2.0;0.6;4057.0;2125.0;100.0
2.0;0.6;4464.0;2366.0;110.0
2.0;0.6;4929.0;2561.0;120.0
2.0;0.6;5345.0;2719.0;130.0
2.0;0.6;5787.0;2825.0;140.0
2.0;0.6;6137.0;3254.0;150.0
2.0;0.6;6586.0;2850.0;160.0
2.0;0.6;7000.0;3513.0;170.0
2.0;0.6;7478.0;3535.0;180.0
2.0;0.6;7876.0;3535.0;190.0
2.0;0.6;8270.0;3808.0;200.0
2.0;0.6;8646.0;3440.0;210.0
2.0;0.6;8841.0;2948.0;220.0
2.0;0.6;9285.0;3085.0;230.0
2.0;0.6;9739.0;3127.0;240.0
2.0;0.6;10336.0;3291.0;250.0
2.0;0.6;390.0;295.0;5.0
2.0;0.6;786.0;515.0;15.0
2.0;0.6;1197.0;707.0;25.0
2.0;0.6;1537.0;921.0;35.0
2.0;0.6;1908.0;1079.0;45.0
2.0;0.6;2342.0;1300.0;55.0
2.0;0.6;2790.0;1568.0;65.0
2.0;0.6;3186.0;1754.0;75.0
2.0;0.6;3472.0;1935.0;85.0
2.0;0.6;3858.0;2155.0;95.0
2.0;0.6;4288.0;2265.0;105.0
2.0;0.6;4726.0;2483.0;115.0
2.0;0.6;5118.0;2716.0;125.0
2.0;0.6;5492.0;2885.0;135.0
2.0;0.6;5917.0;2874.0;145.0
2.0;0.6;6304.0;3105.0;155.0
2.0;0.6;6816.0;3259.0;165.0
2.0;0.6;7211.0;3624.0;175.0
2.0;0.6;7614.0;3109.0;185.0
2.0;0.6;8166.0;3775.0;195.0
2.0;0.6;8522.0;3838.0;205.0
2.0;0.6;8689.0;2917.0;215.0
2.0;0.6;9183.0;3047.0;225.0
2.0;0.6;9614.0;3111.0;235.0
2.0;0.6;10042.0;3342.0;245.0
2.0;0.6;275.0;278.0;0.0
2.0;0.6;582.0;392.0;10.0
2.0;0.6;961.0;611.0;20.0
2.0;0.6;1383.0;807.0;30.0
2.0;0.6;1730.0;971.0;40.0
2.0;0.6;2115.0;1210.0;50.0
2.0;0.6;2587.0;1378.0;60.0
2.0;0.6;2954.0;1578.0;70.0
2.0;0.6;3327.0;1875.0;80.0
2.0;0.6;3651.0;2035.0;90.0
2.0;0.6;4125.0;2084.0;100.0
2.0;0.6;4483.0;2241.0;110.0
2.0;0.6;4899.0;2581.0;120.0
2.0;0.6;5336.0;2672.0;130.0
2.0;0.6;5744.0;2702.0;140.0
2.0;0.6;6143.0;2890.0;150.0
2.0;0.6;6542.0;2970.0;160.0
2.0;0.6;6981.0;3044.0;170.0
2.0;0.6;7426.0;3172.0;180.0
2.0;0.6;7767.0;3358.0;190.0
2.0;0.6;8098.0;2770.0;200.0
2.0;0.6;8559.0;2863.0;210.0
2.0;0.6;8950.0;2879.0;220.0
2.0;0.6;9490.0;3021.0;230.0
2.0;0.6;9918.0;3509.0;240.0
2.0;0.6;10188.0;3468.0;250.0
2.0;0.6;396.0;297.0;5.0
2.0;0.6;783.0;496.0;15.0
2.0;0.6;1161.0;716.0;25.0
2.0;0.6;1546.0;900.0;35.0
2.0;0.6;1931.0;1078.0;45.0
2.0;0.6;2348.0;1304.0;55.0
2.0;0.6;2738.0;1426.0;65.0
2.0;0.6;3084.0;1757.0;75.0
2.0;0.6;3530.0;1878.0;85.0
