CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS;
2;0.3;606.0;663.0;10;
2;0.3;1009.0;1073.0;20;
2;0.3;1419.0;1470.0;30;
2;0.3;1777.0;1881.0;40;
2;0.3;2178.0;2224.0;50;
2;0.3;2585.0;2623.0;60;
2;0.3;2983.0;3055.0;70;
2;0.3;3340.0;3417.0;80;
2;0.3;3793.0;3814.0;90;
2;0.3;4175.0;4208.0;100;
2;0.3;4550.0;4665.0;110;
2;0.3;4992.0;5025.0;120;
2;0.3;5394.0;5405.0;130;
2;0.3;5760.0;5864.0;140;
2;0.3;6146.0;6288.0;150;
2;0.3;6459.0;6634.0;160;
2;0.3;6844.0;6975.0;170;
2;0.3;7217.0;7401.0;180;
2;0.3;7699.0;7877.0;190;
2;0.3;8046.0;8254.0;200;
2;0.3;8494.0;8643.0;210;
2;0.3;8748.0;8964.0;220;
2;0.3;9158.0;9460.0;230;
2;0.3;9536.0;9771.0;240;
2;0.3;9951.0;10243.0;250;
2;0.3;388.0;440.0;5;
2;0.3;792.0;857.0;15;
2;0.3;1188.0;1256.0;25;
2;0.3;1608.0;1630.0;35;
2;0.3;1977.0;2020.0;45;
2;0.3;2402.0;2451.0;55;
2;0.3;2765.0;2834.0;65;
2;0.3;3156.0;3279.0;75;
2;0.3;3577.0;3607.0;85;
2;0.3;3935.0;4012.0;95;
2;0.3;4337.0;4436.0;105;
2;0.3;4843.0;4805.0;115;
2;0.3;5218.0;5252.0;125;
2;0.3;5533.0;5599.0;135;
2;0.3;5951.0;6029.0;145;
2;0.3;6391.0;6401.0;155;
2;0.3;6677.0;6801.0;165;
2;0.3;7123.0;7173.0;175;
2;0.3;7392.0;7547.0;185;
2;0.3;7785.0;7932.0;195;
2;0.3;8127.0;8356.0;205;
2;0.3;8520.0;8714.0;215;
2;0.3;8816.0;9117.0;225;
2;0.3;9364.0;9643.0;235;
2;0.3;9668.0;9984.0;245;
2;0.3;276.0;279.0;0;
2;0.3;608.0;668.0;10;
2;0.3;996.0;1073.0;20;
2;0.3;1405.0;1463.0;30;
2;0.3;1778.0;1819.0;40;
2;0.3;2195.0;2287.0;50;
2;0.3;2566.0;2654.0;60;
2;0.3;2966.0;3023.0;70;
2;0.3;3376.0;3417.0;80;
2;0.3;3741.0;3863.0;90;
2;0.3;4135.0;4201.0;100;
2;0.3;4578.0;4620.0;110;
2;0.3;4925.0;5010.0;120;
2;0.3;5324.0;5339.0;130;
2;0.3;5728.0;5773.0;140;
2;0.3;6100.0;6191.0;150;
2;0.3;6572.0;6588.0;160;
2;0.3;6812.0;6895.0;170;
2;0.3;7327.0;7443.0;180;
2;0.3;7634.0;7829.0;190;
2;0.3;8005.0;8236.0;200;
2;0.3;8462.0;8586.0;210;
2;0.3;8814.0;9050.0;220;
2;0.3;9104.0;9378.0;230;
2;0.3;9384.0;9746.0;240;
2;0.3;9998.0;10268.0;250;
2;0.3;392.0;439.0;5;
2;0.3;803.0;886.0;15;
2;0.3;1185.0;1263.0;25;
2;0.3;1595.0;1656.0;35;
2;0.3;1984.0;2036.0;45;
2;0.3;2398.0;2494.0;55;
2;0.3;2786.0;2834.0;65;
2;0.3;3207.0;3283.0;75;
2;0.3;3524.0;3688.0;85;
2;0.3;3965.0;4033.0;95;
2;0.3;4319.0;4406.0;105;
2;0.3;4792.0;4876.0;115;
2;0.3;5101.0;5179.0;125;
2;0.3;5448.0;5575.0;135;
2;0.3;5986.0;6078.0;145;
2;0.3;6339.0;6387.0;155;
2;0.3;6731.0;6848.0;165;
2;0.3;7061.0;7262.0;175;
2;0.3;7416.0;7522.0;185;
2;0.3;7829.0;8042.0;195;
2;0.3;8122.0;8375.0;205;
2;0.3;8487.0;8704.0;215;
2;0.3;8905.0;9086.0;225;
2;0.3;9350.0;9637.0;235;
