CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS
2.0;0.7;586.0;286.0;10.0
2.0;0.7;995.0;320.0;20.0
2.0;0.7;1400.0;348.0;30.0
2.0;0.7;1799.0;358.0;40.0
2.0;0.7;2207.0;394.0;50.0
2.0;0.7;2602.0;481.0;60.0
2.0;0.7;2966.0;536.0;70.0
2.0;0.7;3351.0;572.0;80.0
2.0;0.7;3713.0;613.0;90.0
2.0;0.7;4144.0;664.0;100.0
2.0;0.7;4445.0;718.0;110.0
2.0;0.7;4905.0;767.0;120.0
2.0;0.7;5227.0;774.0;130.0
2.0;0.7;5713.0;834.0;140.0
2.0;0.7;6043.0;861.0;150.0
2.0;0.7;6523.0;929.0;160.0
2.0;0.7;6889.0;918.0;170.0
2.0;0.7;7398.0;967.0;180.0
2.0;0.7;7840.0;1012.0;190.0
2.0;0.7;8102.0;1036.0;200.0
2.0;0.7;8528.0;1073.0;210.0
2.0;0.7;8836.0;1094.0;220.0
2.0;0.7;9530.0;1130.0;230.0
2.0;0.7;9969.0;1166.0;240.0
2.0;0.7;10284.0;1192.0;250.0
2.0;0.7;391.0;276.0;5.0
2.0;0.7;786.0;295.0;15.0
2.0;0.7;1232.0;331.0;25.0
2.0;0.7;1648.0;382.0;35.0
2.0;0.7;2041.0;412.0;45.0
2.0;0.7;2385.0;467.0;55.0
2.0;0.7;2754.0;520.0;65.0
2.0;0.7;3155.0;556.0;75.0
2.0;0.7;3519.0;599.0;85.0
2.0;0.7;3854.0;641.0;95.0
2.0;0.7;4348.0;694.0;105.0
2.0;0.7;4718.0;738.0;115.0
2.0;0.7;5067.0;780.0;125.0
2.0;0.7;5443.0;784.0;135.0
2.0;0.7;5843.0;827.0;145.0
2.0;0.7;6388.0;884.0;155.0
2.0;0.7;6728.0;902.0;165.0
2.0;0.7;7225.0;931.0;175.0
2.0;0.7;7550.0;968.0;185.0
2.0;0.7;7919.0;1008.0;195.0
2.0;0.7;8338.0;1046.0;205.0
2.0;0.7;8815.0;1080.0;215.0
2.0;0.7;9314.0;1104.0;225.0
2.0;0.7;9772.0;1128.0;235.0
2.0;0.7;10037.0;1152.0;245.0
2.0;0.7;278.0;282.0;0.0
2.0;0.7;590.0;293.0;10.0
2.0;0.7;999.0;328.0;20.0
2.0;0.7;1406.0;368.0;30.0
2.0;0.7;1787.0;394.0;40.0
2.0;0.7;2207.0;438.0;50.0
2.0;0.7;2563.0;499.0;60.0
2.0;0.7;2966.0;547.0;70.0
2.0;0.7;3284.0;576.0;80.0
2.0;0.7;3675.0;623.0;90.0
2.0;0.7;4079.0;672.0;100.0
2.0;0.7;4518.0;726.0;110.0
2.0;0.7;4939.0;753.0;120.0
2.0;0.7;5264.0;783.0;130.0
2.0;0.7;5692.0;825.0;140.0
2.0;0.7;6158.0;869.0;150.0
2.0;0.7;6563.0;906.0;160.0
2.0;0.7;6911.0;925.0;170.0
2.0;0.7;7404.0;956.0;180.0
2.0;0.7;7649.0;986.0;190.0
2.0;0.7;8253.0;1040.0;200.0
2.0;0.7;8714.0;1070.0;210.0
2.0;0.7;9100.0;1089.0;220.0
2.0;0.7;9483.0;1109.0;230.0
2.0;0.7;9767.0;1128.0;240.0
2.0;0.7;9952.0;1149.0;250.0
2.0;0.7;392.0;281.0;5.0
2.0;0.7;790.0;299.0;15.0
2.0;0.7;1207.0;352.0;25.0
2.0;0.7;1589.0;375.0;35.0
2.0;0.7;1967.0;435.0;45.0
2.0;0.7;2339.0;474.0;55.0
2.0;0.7;2780.0;534.0;65.0
2.0;0.7;3115.0;564.0;75.0
2.0;0.7;3474.0;593.0;85.0
2.0;0.7;3894.0;635.0;95.0
2.0;0.7;4358.0;705.0;105.0
2.0;0.7;4703.0;742.0;115.0
2.0;0.7;5122.0;773.0;125.0
2.0;0.7;5522.0;791.0;135.0
2.0;0.7;5933.0;847.0;145.0
2.0;0.7;6430.0;884.0;155.0
2.0;0.7;6831.0;910.0;165.0
2.0;0.7;7114.0;939.0;175.0
2.0;0.7;7602.0;957.0;185.0
2.0;0.7;7930.0;1004.0;195.0
2.0;0.7;8466.0;1053.0;205.0
2.0;0.7;8929.0;1088.0;215.0
2.0;0.7;9307.0;1085.0;225.0
2.0;0.7;9606.0;1115.0;235.0
2.0;0.7;9792.0;1128.0;245.0
2.0;0.7;279.0;281.0;0.0
2.0;0.7;583.0;283.0;10.0
2.0;0.7;1023.0;324.0;20.0
2.0;0.7;1394.0;352.0;30.0
2.0;0.7;1741.0;409.0;40.0
2.0;0.7;2145.0;447.0;50.0
2.0;0.7;2499.0;494.0;60.0
2.0;0.7;2905.0;539.0;70.0
2.0;0.7;3328.0;587.0;80.0
2.0;0.7;3698.0;617.0;90.0
2.0;0.7;4145.0;656.0;100.0
2.0;0.7;4540.0;715.0;110.0
2.0;0.7;5021.0;747.0;120.0
2.0;0.7;5290.0;774.0;130.0
2.0;0.7;5682.0;821.0;140.0
2.0;0.7;6161.0;874.0;150.0
2.0;0.7;6608.0;908.0;160.0
2.0;0.7;6914.0;936.0;170.0
2.0;0.7;7290.0;947.0;180.0
2.0;0.7;7832.0;983.0;190.0
2.0;0.7;8320.0;1025.0;200.0
2.0;0.7;8775.0;1087.0;210.0
2.0;0.7;9048.0;1081.0;220.0
2.0;0.7;9324.0;1093.0;230.0
2.0;0.7;9660.0;1128.0;240.0
2.0;0.7;9854.0;1152.0;250.0
2.0;0.7;395.0;280.0;5.0
2.0;0.7;791.0;298.0;15.0
2.0;0.7;1233.0;349.0;25.0
2.0;0.7;1588.0;383.0;35.0
2.0;0.7;1956.0;431.0;45.0
2.0;0.7;2366.0;486.0;55.0
2.0;0.7;2729.0;534.0;65.0
2.0;0.7;3145.0;564.0;75.0
2.0;0.7;3557.0;602.0;85.0
2.0;0.7;3916.0;652.0;95.0
2.0;0.7;4335.0;686.0;105.0
2.0;0.7;4717.0;732.0;115.0
2.0;0.7;5154.0;767.0;125.0
2.0;0.7;5562.0;797.0;135.0
2.0;0.7;5987.0;850.0;145.0
2.0;0.7;6348.0;891.0;155.0
2.0;0.7;6691.0;913.0;165.0
