CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS
2;0.8;623.0;282.0;10
2;0.8;1039.0;289.0;20
2;0.8;1481.0;321.0;30
2;0.8;1845.0;324.0;40
2;0.8;2208.0;332.0;50
2;0.8;2597.0;359.0;60
2;0.8;3010.0;404.0;70
2;0.8;3392.0;420.0;80
2;0.8;3789.0;409.0;90
2;0.8;4174.0;442.0;100
2;0.8;4650.0;477.0;110
2;0.8;5012.0;504.0;120
2;0.8;5435.0;506.0;130
2;0.8;5817.0;524.0;140
2;0.8;6215.0;560.0;150
2;0.8;6594.0;588.0;160
2;0.8;6822.0;595.0;170
2;0.8;7295.0;599.0;180
2;0.8;7700.0;624.0;190
2;0.8;8095.0;651.0;200
2;0.8;8480.0;686.0;210
2;0.8;8821.0;692.0;220
2;0.8;9346.0;729.0;230
2;0.8;9704.0;764.0;240
2;0.8;10136.0;786.0;250
2;0.8;397.0;280.0;5
2;0.8;829.0;285.0;15
2;0.8;1235.0;300.0;25
2;0.8;1635.0;325.0;35
2;0.8;2051.0;333.0;45
2;0.8;2475.0;351.0;55
2;0.8;2867.0;381.0;65
2;0.8;3276.0;412.0;75
2;0.8;3583.0;401.0;85
2;0.8;4015.0;415.0;95
2;0.8;4403.0;454.0;105
2;0.8;4771.0;480.0;115
2;0.8;5184.0;493.0;125
2;0.8;5629.0;502.0;135
2;0.8;5975.0;524.0;145
2;0.8;6363.0;552.0;155
2;0.8;6711.0;589.0;165
2;0.8;7052.0;568.0;175
2;0.8;7363.0;601.0;185
2;0.8;7819.0;630.0;195
2;0.8;8215.0;653.0;205
2;0.8;8728.0;692.0;215
2;0.8;9160.0;709.0;225
2;0.8;9582.0;733.0;235
2;0.8;9833.0;755.0;245
2;0.8;274.0;280.0;0
2;0.8;633.0;285.0;10
2;0.8;1023.0;288.0;20
2;0.8;1437.0;324.0;30
2;0.8;1811.0;320.0;40
2;0.8;2195.0;329.0;50
2;0.8;2631.0;367.0;60
2;0.8;3023.0;389.0;70
2;0.8;3375.0;414.0;80
2;0.8;3854.0;412.0;90
2;0.8;4193.0;439.0;100
2;0.8;4600.0;474.0;110
2;0.8;5026.0;497.0;120
2;0.8;5354.0;499.0;130
2;0.8;5780.0;514.0;140
2;0.8;6176.0;535.0;150
2;0.8;6554.0;571.0;160
2;0.8;6889.0;599.0;170
2;0.8;7217.0;587.0;180
2;0.8;7775.0;610.0;190
2;0.8;8134.0;639.0;200
2;0.8;8543.0;669.0;210
2;0.8;8992.0;696.0;220
2;0.8;9323.0;710.0;230
2;0.8;9709.0;746.0;240
2;0.8;10122.0;775.0;250
2;0.8;392.0;278.0;5
2;0.8;812.0;285.0;15
2;0.8;1209.0;303.0;25
2;0.8;1638.0;329.0;35
2;0.8;2020.0;325.0;45
2;0.8;2447.0;346.0;55
2;0.8;2814.0;377.0;65
2;0.8;3174.0;400.0;75
2;0.8;3545.0;397.0;85
2;0.8;3963.0;420.0;95
2;0.8;4469.0;449.0;105
2;0.8;4768.0;479.0;115
2;0.8;5123.0;501.0;125
2;0.8;5525.0;490.0;135
2;0.8;5867.0;522.0;145
2;0.8;6352.0;554.0;155
2;0.8;6755.0;580.0;165
2;0.8;7161.0;575.0;175
2;0.8;7417.0;592.0;185
2;0.8;7864.0;614.0;195
2;0.8;8433.0;649.0;205
2;0.8;8716.0;682.0;215
2;0.8;9163.0;702.0;225
2;0.8;9545.0;720.0;235
2;0.8;9905.0;751.0;245
2;0.8;277.0;280.0;0
2;0.8;631.0;284.0;10
2;0.8;1034.0;292.0;20
2;0.8;1463.0;308.0;30
2;0.8;1813.0;316.0;40
2;0.8;2226.0;332.0;50
2;0.8;2604.0;360.0;60
2;0.8;3004.0;388.0;70
2;0.8;3432.0;400.0;80
2;0.8;3848.0;410.0;90
2;0.8;4182.0;432.0;100
2;0.8;4610.0;465.0;110
2;0.8;4962.0;493.0;120
2;0.8;5416.0;475.0;130
2;0.8;5685.0;500.0;140
2;0.8;6170.0;533.0;150
2;0.8;6446.0;555.0;160
2;0.8;6916.0;590.0;170
2;0.8;7266.0;572.0;180
2;0.8;7726.0;606.0;190
2;0.8;8119.0;629.0;200
2;0.8;8566.0;654.0;210
2;0.8;8877.0;690.0;220
2;0.8;9310.0;705.0;230
2;0.8;9792.0;735.0;240
2;0.8;10097.0;760.0;250
2;0.8;394.0;284.0;5
2;0.8;812.0;282.0;15
2;0.8;1232.0;307.0;25
2;0.8;1603.0;328.0;35
2;0.8;2009.0;314.0;45
2;0.8;2382.0;337.0;55
2;0.8;2803.0;373.0;65
2;0.8;3224.0;408.0;75
2;0.8;3604.0;398.0;85
2;0.8;4036.0;416.0;95
2;0.8;4373.0;436.0;105
2;0.8;4808.0;468.0;115
2;0.8;5175.0;497.0;125
2;0.8;5549.0;492.0;135
2;0.8;5886.0;519.0;145
2;0.8;6341.0;543.0;155
2;0.8;6801.0;569.0;165
2;0.8;7100.0;573.0;175
2;0.8;7501.0;590.0;185
2;0.8;7924.0;624.0;195
2;0.8;8371.0;648.0;205
2;0.8;8701.0;671.0;215
2;0.8;9126.0;688.0;225
2;0.8;9427.0;706.0;235
2;0.8;9988.0;739.0;245
2;0.8;279.0;282.0;0
2;0.8;628.0;283.0;10
2;0.8;1036.0;291.0;20
2;0.8;1442.0;310.0;30
2;0.8;1805.0;314.0;40
2;0.8;2212.0;327.0;50
2;0.8;2595.0;366.0;60
2;0.8;2997.0;386.0;70
2;0.8;3385.0;405.0;80
2;0.8;3761.0;395.0;90
2;0.8;4207.0;426.0;100
2;0.8;4582.0;450.0;110
2;0.8;4969.0;477.0;120
2;0.8;5303.0;477.0;130
2;0.8;5773.0;499.0;140
2;0.8;6135.0;527.0;150
2;0.8;6524.0;561.0;160
2;0.8;6918.0;586.0;170
2;0.8;7297.0;582.0;180
2;0.8;7729.0;600.0;190
2;0.8;8108.0;625.0;200
2;0.8;8556.0;661.0;210
2;0.8;8942.0;686.0;220
2;0.8;9336.0;692.0;230
2;0.8;9753.0;720.0;240
2;0.8;9833.0;749.0;250
2;0.8;393.0;278.0;5
2;0.8;822.0;291.0;15
2;0.8;1233.0;306.0;25
2;0.8;1633.0;319.0;35
2;0.8;2025.0;326.0;45
2;0.8;2426.0;348.0;55
2;0.8;2792.0;369.0;65
2;0.8;3269.0;401.0;75
2;0.8;3595.0;385.0;85
2;0.8;3958.0;402.0;95
2;0.8;4374.0;436.0;105
2;0.8;4693.0;454.0;115
2;0.8;5182.0;492.0;125
2;0.8;5455.0;483.0;135
2;0.8;5972.0;497.0;145
2;0.8;6284.0;527.0;155
2;0.8;6703.0;573.0;165
2;0.8;7154.0;571.0;175
2;0.8;7563.0;568.0;185
2;0.8;7926.0;607.0;195
2;0.8;8367.0;637.0;205
2;0.8;8732.0;657.0;215
2;0.8;9009.0;669.0;225
2;0.8;9501.0;706.0;235
