CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS;
2;0.2;601.0;648.0;10;
2;0.2;1033.0;1034.0;20;
2;0.2;1407.0;1443.0;30;
2;0.2;1740.0;1804.0;40;
2;0.2;2167.0;2222.0;50;
2;0.2;2557.0;2613.0;60;
2;0.2;2998.0;3040.0;70;
2;0.2;3338.0;3393.0;80;
2;0.2;3784.0;3807.0;90;
2;0.2;4110.0;4175.0;100;
2;0.2;4515.0;4612.0;110;
2;0.2;4930.0;4991.0;120;
2;0.2;5293.0;5327.0;130;
2;0.2;5759.0;5740.0;140;
2;0.2;6051.0;6109.0;150;
2;0.2;6469.0;6440.0;160;
2;0.2;6848.0;6904.0;170;
2;0.2;7269.0;7365.0;180;
2;0.2;7619.0;7654.0;190;
2;0.2;8076.0;8073.0;200;
2;0.2;8512.0;8559.0;210;
2;0.2;8776.0;8799.0;220;
2;0.2;9110.0;9172.0;230;
2;0.2;9625.0;9731.0;240;
2;0.2;10115.0;10134.0;250;
2;0.2;390.0;442.0;5;
2;0.2;835.0;867.0;15;
2;0.2;1200.0;1255.0;25;
2;0.2;1584.0;1618.0;35;
2;0.2;1956.0;2005.0;45;
2;0.2;2421.0;2392.0;55;
2;0.2;2767.0;2858.0;65;
2;0.2;3209.0;3191.0;75;
2;0.2;3518.0;3541.0;85;
2;0.2;3982.0;3977.0;95;
2;0.2;4315.0;4355.0;105;
2;0.2;4708.0;4773.0;115;
2;0.2;5097.0;5098.0;125;
2;0.2;5469.0;5506.0;135;
2;0.2;5823.0;5916.0;145;
2;0.2;6316.0;6318.0;155;
2;0.2;6750.0;6707.0;165;
2;0.2;6980.0;7055.0;175;
2;0.2;7493.0;7537.0;185;
2;0.2;7856.0;7852.0;195;
2;0.2;8184.0;8213.0;205;
2;0.2;8587.0;8573.0;215;
2;0.2;8996.0;9075.0;225;
2;0.2;9426.0;9500.0;235;
2;0.2;9850.0;9936.0;245;
2;0.2;275.0;278.0;0;
2;0.2;591.0;654.0;10;
2;0.2;1016.0;1044.0;20;
2;0.2;1406.0;1446.0;30;
2;0.2;1787.0;1836.0;40;
2;0.2;2195.0;2234.0;50;
2;0.2;2589.0;2659.0;60;
2;0.2;2963.0;2991.0;70;
2;0.2;3342.0;3345.0;80;
2;0.2;3805.0;3827.0;90;
2;0.2;4176.0;4172.0;100;
2;0.2;4517.0;4539.0;110;
2;0.2;4934.0;4951.0;120;
2;0.2;5260.0;5252.0;130;
2;0.2;5759.0;5796.0;140;
2;0.2;6076.0;6093.0;150;
2;0.2;6523.0;6585.0;160;
2;0.2;6863.0;6889.0;170;
2;0.2;7158.0;7329.0;180;
2;0.2;7702.0;7763.0;190;
2;0.2;7945.0;8011.0;200;
2;0.2;8522.0;8484.0;210;
2;0.2;8694.0;8831.0;220;
2;0.2;9124.0;9170.0;230;
2;0.2;9657.0;9728.0;240;
2;0.2;10142.0;10161.0;250;
2;0.2;392.0;447.0;5;
2;0.2;828.0;859.0;15;
2;0.2;1196.0;1255.0;25;
2;0.2;1599.0;1609.0;35;
2;0.2;1985.0;2014.0;45;
2;0.2;2370.0;2419.0;55;
2;0.2;2760.0;2803.0;65;
2;0.2;3232.0;3224.0;75;
2;0.2;3479.0;3553.0;85;
2;0.2;3939.0;4025.0;95;
2;0.2;4348.0;4436.0;105;
2;0.2;4708.0;4754.0;115;
2;0.2;5107.0;5166.0;125;
2;0.2;5447.0;5507.0;135;
2;0.2;5957.0;5942.0;145;
2;0.2;6277.0;6292.0;155;
2;0.2;6721.0;6701.0;165;
2;0.2;7020.0;7131.0;175;
2;0.2;7510.0;7473.0;185;
2;0.2;7775.0;7830.0;195;
2;0.2;8203.0;8256.0;205;
2;0.2;8702.0;8725.0;215;
2;0.2;9071.0;9084.0;225;
2;0.2;9423.0;9407.0;235;
2;0.2;9826.0;9914.0;245;
2;0.2;272.0;276.0;0;
2;0.2;591.0;644.0;10;
2;0.2;1025.0;1037.0;20;
2;0.2;1427.0;1475.0;30;
2;0.2;1758.0;1813.0;40;
2;0.2;2190.0;2193.0;50;
2;0.2;2587.0;2596.0;60;
2;0.2;2951.0;3064.0;70;
2;0.2;3287.0;3356.0;80;
2;0.2;3742.0;3829.0;90;
2;0.2;4124.0;4124.0;100;
2;0.2;4528.0;4545.0;110;
2;0.2;5010.0;4989.0;120;
2;0.2;5329.0;5363.0;130;
2;0.2;5746.0;5711.0;140;
2;0.2;6094.0;6180.0;150;
2;0.2;6421.0;6520.0;160;
2;0.2;6883.0;6909.0;170;
2;0.2;7210.0;7258.0;180;
