CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS
2.0;0.1;587.0;662.0;10.0
2.0;0.1;1027.0;1070.0;20.0
2.0;0.1;1407.0;1458.0;30.0
2.0;0.1;1754.0;1833.0;40.0
2.0;0.1;2182.0;2265.0;50.0
2.0;0.1;2554.0;2600.0;60.0
2.0;0.1;2967.0;3037.0;70.0
2.0;0.1;3350.0;3373.0;80.0
2.0;0.1;3785.0;3812.0;90.0
2.0;0.1;4170.0;4217.0;100.0
2.0;0.1;4468.0;4560.0;110.0
2.0;0.1;4936.0;5029.0;120.0
2.0;0.1;5411.0;5366.0;130.0
2.0;0.1;5705.0;5718.0;140.0
2.0;0.1;6181.0;6071.0;150.0
2.0;0.1;6681.0;6567.0;160.0
2.0;0.1;6922.0;6929.0;170.0
2.0;0.1;7285.0;7384.0;180.0
2.0;0.1;7598.0;7679.0;190.0
2.0;0.1;8119.0;8193.0;200.0
2.0;0.1;8486.0;8564.0;210.0
2.0;0.1;9156.0;8917.0;220.0
2.0;0.1;9641.0;9256.0;230.0
2.0;0.1;10112.0;9562.0;240.0
2.0;0.1;10225.0;10069.0;250.0
2.0;0.1;386.0;448.0;5.0
2.0;0.1;796.0;863.0;15.0
2.0;0.1;1205.0;1240.0;25.0
2.0;0.1;1574.0;1650.0;35.0
2.0;0.1;1966.0;2016.0;45.0
2.0;0.1;2360.0;2388.0;55.0
2.0;0.1;2751.0;2808.0;65.0
2.0;0.1;3214.0;3187.0;75.0
2.0;0.1;3519.0;3583.0;85.0
2.0;0.1;3958.0;4029.0;95.0
2.0;0.1;4401.0;4400.0;105.0
2.0;0.1;4783.0;4807.0;115.0
2.0;0.1;5161.0;5238.0;125.0
2.0;0.1;5588.0;5576.0;135.0
2.0;0.1;6079.0;5949.0;145.0
2.0;0.1;6320.0;6428.0;155.0
2.0;0.1;6654.0;6712.0;165.0
2.0;0.1;7046.0;7135.0;175.0
2.0;0.1;7390.0;7533.0;185.0
2.0;0.1;7946.0;7933.0;195.0
2.0;0.1;8446.0;8269.0;205.0
2.0;0.1;8996.0;8665.0;215.0
2.0;0.1;9377.0;9060.0;225.0
2.0;0.1;9615.0;9473.0;235.0
2.0;0.1;9851.0;9933.0;245.0
2.0;0.1;280.0;282.0;0.0
2.0;0.1;595.0;651.0;10.0
2.0;0.1;1005.0;1058.0;20.0
2.0;0.1;1392.0;1443.0;30.0
2.0;0.1;1766.0;1818.0;40.0
2.0;0.1;2153.0;2208.0;50.0
2.0;0.1;2552.0;2621.0;60.0
2.0;0.1;2955.0;3000.0;70.0
2.0;0.1;3371.0;3438.0;80.0
2.0;0.1;3732.0;3769.0;90.0
2.0;0.1;4150.0;4146.0;100.0
2.0;0.1;4616.0;4633.0;110.0
2.0;0.1;5046.0;5056.0;120.0
2.0;0.1;5353.0;5352.0;130.0
2.0;0.1;5807.0;5802.0;140.0
2.0;0.1;6182.0;6129.0;150.0
2.0;0.1;6454.0;6486.0;160.0
2.0;0.1;6861.0;6883.0;170.0
2.0;0.1;7295.0;7324.0;180.0
2.0;0.1;7817.0;7717.0;190.0
2.0;0.1;8305.0;8096.0;200.0
2.0;0.1;8843.0;8506.0;210.0
2.0;0.1;9181.0;8826.0;220.0
2.0;0.1;9409.0;9262.0;230.0
2.0;0.1;9607.0;9738.0;240.0
2.0;0.1;9609.0;10088.0;250.0
2.0;0.1;378.0;448.0;5.0
2.0;0.1;801.0;867.0;15.0
2.0;0.1;1196.0;1263.0;25.0
2.0;0.1;1584.0;1610.0;35.0
2.0;0.1;1946.0;2008.0;45.0
2.0;0.1;2346.0;2375.0;55.0
2.0;0.1;2770.0;2805.0;65.0
2.0;0.1;3195.0;3244.0;75.0
2.0;0.1;3560.0;3570.0;85.0
2.0;0.1;3942.0;3970.0;95.0
2.0;0.1;4483.0;4425.0;105.0
2.0;0.1;4784.0;4755.0;115.0
2.0;0.1;5184.0;5137.0;125.0
2.0;0.1;5484.0;5555.0;135.0
2.0;0.1;5900.0;5942.0;145.0
2.0;0.1;6332.0;6358.0;155.0
2.0;0.1;6653.0;6801.0;165.0
2.0;0.1;7175.0;7197.0;175.0
2.0;0.1;7650.0;7580.0;185.0
2.0;0.1;8153.0;7866.0;195.0
2.0;0.1;8682.0;8342.0;205.0
