CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS;
2;0.5;635.0;506.0;10;
2;0.5;1030.0;810.0;20;
2;0.5;1446.0;1112.0;30;
2;0.5;1814.0;1368.0;40;
2;0.5;2202.0;1605.0;50;
2;0.5;2609.0;1959.0;60;
2;0.5;3032.0;2227.0;70;
2;0.5;3368.0;2445.0;80;
2;0.5;3769.0;2787.0;90;
2;0.5;4181.0;3019.0;100;
2;0.5;4596.0;3240.0;110;
2;0.5;5010.0;3421.0;120;
2;0.5;5408.0;3842.0;130;
2;0.5;5783.0;3987.0;140;
2;0.5;6101.0;4144.0;150;
2;0.5;6505.0;4329.0;160;
2;0.5;6968.0;4661.0;170;
2;0.5;7391.0;4935.0;180;
2;0.5;7762.0;5206.0;190;
2;0.5;8011.0;5374.0;200;
2;0.5;8541.0;5841.0;210;
2;0.5;8893.0;5931.0;220;
2;0.5;9288.0;6046.0;230;
2;0.5;9709.0;6436.0;240;
2;0.5;10094.0;6908.0;250;
2;0.5;397.0;347.0;5;
2;0.5;818.0;612.0;15;
2;0.5;1236.0;850.0;25;
2;0.5;1628.0;1214.0;35;
2;0.5;2031.0;1398.0;45;
2;0.5;2443.0;1756.0;55;
2;0.5;2883.0;2194.0;65;
2;0.5;3237.0;2335.0;75;
2;0.5;3587.0;2758.0;85;
2;0.5;4048.0;3117.0;95;
2;0.5;4415.0;3461.0;105;
2;0.5;4795.0;3875.0;115;
2;0.5;5211.0;3979.0;125;
2;0.5;5516.0;4485.0;135;
2;0.5;6041.0;4867.0;145;
2;0.5;6359.0;5144.0;155;
2;0.5;6870.0;5348.0;165;
2;0.5;7108.0;5695.0;175;
2;0.5;7562.0;6026.0;185;
2;0.5;7914.0;6268.0;195;
2;0.5;8336.0;6775.0;205;
2;0.5;8725.0;7086.0;215;
2;0.5;9165.0;7371.0;225;
2;0.5;9458.0;7690.0;235;
2;0.5;9889.0;8074.0;245;
2;0.5;274.0;279.0;0;
2;0.5;630.0;494.0;10;
2;0.5;1017.0;811.0;20;
2;0.5;1445.0;1109.0;30;
2;0.5;1844.0;1407.0;40;
2;0.5;2207.0;1739.0;50;
2;0.5;2627.0;2051.0;60;
2;0.5;3058.0;2384.0;70;
2;0.5;3403.0;2683.0;80;
2;0.5;3893.0;2986.0;90;
2;0.5;4204.0;3289.0;100;
2;0.5;4588.0;3493.0;110;
2;0.5;5063.0;3768.0;120;
2;0.5;5404.0;4066.0;130;
2;0.5;5839.0;4370.0;140;
2;0.5;6176.0;4737.0;150;
2;0.5;6610.0;5202.0;160;
2;0.5;6980.0;5337.0;170;
2;0.5;7403.0;5726.0;180;
2;0.5;7742.0;6019.0;190;
2;0.5;8136.0;6242.0;200;
2;0.5;8569.0;6612.0;210;
2;0.5;8969.0;6870.0;220;
2;0.5;9335.0;7129.0;230;
2;0.5;9735.0;7239.0;240;
2;0.5;10105.0;7633.0;250;
2;0.5;390.0;338.0;5;
2;0.5;826.0;636.0;15;
2;0.5;1241.0;935.0;25;
2;0.5;1622.0;1190.0;35;
2;0.5;2025.0;1470.0;45;
2;0.5;2408.0;1776.0;55;
2;0.5;2814.0;2026.0;65;
2;0.5;3243.0;2324.0;75;
2;0.5;3577.0;2546.0;85;
2;0.5;4012.0;2831.0;95;
2;0.5;4452.0;3151.0;105;
2;0.5;4831.0;3449.0;115;
2;0.5;5186.0;3747.0;125;
2;0.5;5658.0;3875.0;135;
2;0.5;6057.0;4367.0;145;
2;0.5;6386.0;4462.0;155;
2;0.5;6804.0;4793.0;165;
2;0.5;7255.0;5063.0;175;
2;0.5;7632.0;5228.0;185;
2;0.5;7940.0;5412.0;195;
2;0.5;8277.0;5782.0;205;
2;0.5;8638.0;6087.0;215;
2;0.5;9054.0;6272.0;225;
2;0.5;9549.0;6829.0;235;
