CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS;
2;0.5;617.0;431.0;10;
2;0.5;1042.0;650.0;20;
2;0.5;1460.0;854.0;30;
2;0.5;1819.0;1070.0;40;
2;0.5;2253.0;1300.0;50;
2;0.5;2639.0;1560.0;60;
2;0.5;3085.0;1758.0;70;
2;0.5;3474.0;1959.0;80;
2;0.5;3856.0;2170.0;90;
2;0.5;4237.0;2389.0;100;
2;0.5;4677.0;2692.0;110;
2;0.5;5080.0;2845.0;120;
2;0.5;5420.0;3060.0;130;
2;0.5;5903.0;3267.0;140;
2;0.5;6229.0;3514.0;150;
2;0.5;6709.0;3672.0;160;
2;0.5;7065.0;4000.0;170;
2;0.5;7341.0;4085.0;180;
2;0.5;7876.0;4387.0;190;
2;0.5;8208.0;4532.0;200;
2;0.5;8643.0;4931.0;210;
2;0.5;9038.0;5140.0;220;
2;0.5;9389.0;5237.0;230;
2;0.5;9686.0;5368.0;240;
2;0.5;10073.0;5602.0;250;
2;0.5;388.0;305.0;5;
2;0.5;823.0;540.0;15;
2;0.5;1227.0;757.0;25;
2;0.5;1636.0;952.0;35;
2;0.5;2034.0;1182.0;45;
2;0.5;2464.0;1386.0;55;
2;0.5;2857.0;1563.0;65;
2;0.5;3264.0;1839.0;75;
2;0.5;3604.0;2030.0;85;
2;0.5;4023.0;2220.0;95;
2;0.5;4437.0;2419.0;105;
2;0.5;4884.0;2711.0;115;
2;0.5;5257.0;2818.0;125;
2;0.5;5612.0;3053.0;135;
2;0.5;6014.0;3286.0;145;
2;0.5;6425.0;3501.0;155;
2;0.5;6875.0;3712.0;165;
2;0.5;7214.0;3922.0;175;
2;0.5;7643.0;4152.0;185;
2;0.5;8037.0;4457.0;195;
2;0.5;8453.0;4509.0;205;
2;0.5;8810.0;4737.0;215;
2;0.5;9116.0;4839.0;225;
2;0.5;9564.0;5297.0;235;
2;0.5;9821.0;5469.0;245;
2;0.5;277.0;280.0;0;
2;0.5;624.0;417.0;10;
2;0.5;1033.0;641.0;20;
2;0.5;1425.0;807.0;30;
2;0.5;1845.0;1033.0;40;
2;0.5;2239.0;1234.0;50;
2;0.5;2652.0;1472.0;60;
2;0.5;3094.0;1653.0;70;
2;0.5;3430.0;1932.0;80;
2;0.5;3842.0;2058.0;90;
2;0.5;4220.0;2259.0;100;
2;0.5;4626.0;2491.0;110;
2;0.5;5135.0;2699.0;120;
2;0.5;5465.0;3001.0;130;
2;0.5;5821.0;3135.0;140;
2;0.5;6216.0;3390.0;150;
2;0.5;6595.0;3473.0;160;
2;0.5;7011.0;3794.0;170;
2;0.5;7426.0;3966.0;180;
2;0.5;7912.0;4093.0;190;
2;0.5;8229.0;4346.0;200;
2;0.5;8678.0;4679.0;210;
2;0.5;8913.0;4685.0;220;
2;0.5;9289.0;5045.0;230;
2;0.5;9792.0;5311.0;240;
2;0.5;10140.0;5478.0;250;
2;0.5;395.0;304.0;5;
2;0.5;822.0;522.0;15;
2;0.5;1264.0;717.0;25;
2;0.5;1633.0;941.0;35;
2;0.5;2013.0;1109.0;45;
2;0.5;2418.0;1315.0;55;
2;0.5;2846.0;1518.0;65;
2;0.5;3263.0;1801.0;75;
2;0.5;3601.0;1938.0;85;
2;0.5;4016.0;2108.0;95;
2;0.5;4464.0;2350.0;105;
2;0.5;4917.0;2611.0;115;
2;0.5;5303.0;2837.0;125;
2;0.5;5661.0;3030.0;135;
2;0.5;6016.0;3141.0;145;
2;0.5;6390.0;3374.0;155;
2;0.5;6801.0;3562.0;165;
2;0.5;7141.0;3722.0;175;
2;0.5;7655.0;4031.0;185;
2;0.5;8019.0;4311.0;195;
2;0.5;8348.0;4409.0;205;
2;0.5;8748.0;4636.0;215;
2;0.5;9195.0;4888.0;225;
2;0.5;9543.0;5079.0;235;
2;0.5;9853.0;5157.0;245;
2;0.5;276.0;277.0;0;
2;0.5;613.0;423.0;10;
2;0.5;1020.0;605.0;20;
2;0.5;1437.0;805.0;30;
2;0.5;1822.0;1024.0;40;
2;0.5;2215.0;1213.0;50;
2;0.5;2678.0;1445.0;60;
2;0.5;3118.0;1638.0;70;
2;0.5;3472.0;1858.0;80;
2;0.5;3797.0;1994.0;90;
2;0.5;4320.0;2208.0;100;
2;0.5;4673.0;2430.0;110;
2;0.5;5083.0;2685.0;120;
2;0.5;5463.0;2732.0;130;
2;0.5;5862.0;3058.0;140;
2;0.5;6198.0;3202.0;150;
2;0.5;6712.0;3501.0;160;
2;0.5;6994.0;3653.0;170;
2;0.5;7402.0;3872.0;180;
2;0.5;7835.0;4083.0;190;
2;0.5;8223.0;4222.0;200;
2;0.5;8690.0;4446.0;210;
2;0.5;8867.0;4680.0;220;
2;0.5;9394.0;4800.0;230;
2;0.5;9786.0;5180.0;240;
2;0.5;10201.0;5341.0;250;
2;0.5;392.0;305.0;5;
2;0.5;821.0;514.0;15;
2;0.5;1248.0;717.0;25;
2;0.5;1640.0;906.0;35;
2;0.5;2015.0;1100.0;45;
2;0.5;2488.0;1307.0;55;
2;0.5;2802.0;1477.0;65;
2;0.5;3248.0;1707.0;75;
2;0.5;3633.0;1920.0;85;
2;0.5;4005.0;2092.0;95;
2;0.5;4452.0;2319.0;105;
2;0.5;4856.0;2470.0;115;
2;0.5;5226.0;2673.0;125;
2;0.5;5700.0;2895.0;135;
2;0.5;6093.0;3167.0;145;
2;0.5;6514.0;3269.0;155;
2;0.5;6896.0;3529.0;165;
2;0.5;7232.0;3723.0;175;
2;0.5;7542.0;3829.0;185;
2;0.5;8042.0;4061.0;195;
2;0.5;8464.0;4327.0;205;
2;0.5;8774.0;4579.0;215;
2;0.5;9066.0;4711.0;225;
2;0.5;9464.0;4972.0;235;
2;0.5;9998.0;5271.0;245;
2;0.5;274.0;278.0;0;
2;0.5;616.0;420.0;10;
2;0.5;1012.0;605.0;20;
2;0.5;1451.0;822.0;30;
2;0.5;1814.0;982.0;40;
2;0.5;2227.0;1203.0;50;
2;0.5;2669.0;1390.0;60;
2;0.5;3013.0;1576.0;70;
2;0.5;3429.0;1791.0;80;
2;0.5;3857.0;1966.0;90;
2;0.5;4247.0;2242.0;100;
2;0.5;4579.0;2380.0;110;
2;0.5;5091.0;2625.0;120;
2;0.5;5423.0;2763.0;130;
2;0.5;5821.0;2986.0;140;
2;0.5;6146.0;3218.0;150;
2;0.5;6671.0;3481.0;160;
2;0.5;6981.0;3611.0;170;
2;0.5;7466.0;3801.0;180;
2;0.5;7812.0;4041.0;190;
2;0.5;8232.0;4308.0;200;
2;0.5;8612.0;4479.0;210;
2;0.5;8953.0;4631.0;220;
2;0.5;9385.0;4796.0;230;
2;0.5;9683.0;5062.0;240;
2;0.5;10186.0;5288.0;250;
2;0.5;389.0;302.0;5;
2;0.5;825.0;531.0;15;
2;0.5;1251.0;695.0;25;
2;0.5;1629.0;913.0;35;
2;0.5;2011.0;1072.0;45;
2;0.5;2445.0;1327.0;55;
2;0.5;2862.0;1481.0;65;
2;0.5;3245.0;1738.0;75;
2;0.5;3639.0;1903.0;85;
2;0.5;4001.0;2090.0;95;
2;0.5;4505.0;2307.0;105;
2;0.5;4834.0;2502.0;115;
2;0.5;5188.0;2642.0;125;
2;0.5;5657.0;2899.0;135;
2;0.5;6031.0;3048.0;145;
2;0.5;6477.0;3309.0;155;
2;0.5;6886.0;3509.0;165;
2;0.5;7275.0;3636.0;175;
2;0.5;7659.0;3930.0;185;
2;0.5;8030.0;4080.0;195;
2;0.5;8454.0;4270.0;205;
2;0.5;8654.0;4410.0;215;
2;0.5;9080.0;4721.0;225;
2;0.5;9483.0;4856.0;235;
2;0.5;9852.0;5008.0;245;
2;0.5;277.0;282.0;0;
2;0.5;620.0;412.0;10;
2;0.5;1039.0;606.0;20;
2;0.5;1450.0;787.0;30;
2;0.5;1785.0;978.0;40;
2;0.5;2220.0;1165.0;50;
2;0.5;2638.0;1404.0;60;
2;0.5;3051.0;1549.0;70;
2;0.5;3415.0;1743.0;80;
2;0.5;3857.0;1984.0;90;
2;0.5;4244.0;2157.0;100;
2;0.5;4676.0;2410.0;110;
2;0.5;5037.0;2546.0;120;
2;0.5;5363.0;2721.0;130;
2;0.5;5913.0;2973.0;140;
2;0.5;6251.0;3119.0;150;
2;0.5;6602.0;3334.0;160;
2;0.5;7085.0;3519.0;170;
2;0.5;7436.0;3668.0;180;
2;0.5;7829.0;4007.0;190;
2;0.5;8229.0;4137.0;200;
2;0.5;8636.0;4372.0;210;
2;0.5;9004.0;4544.0;220;
2;0.5;9398.0;4791.0;230;
2;0.5;9652.0;4868.0;240;
2;0.5;10159.0;5181.0;250;
2;0.5;394.0;299.0;5;
2;0.5;829.0;509.0;15;
2;0.5;1255.0;704.0;25;
2;0.5;1627.0;884.0;35;
2;0.5;2024.0;1080.0;45;
2;0.5;2440.0;1265.0;55;
2;0.5;2838.0;1468.0;65;
2;0.5;3298.0;1660.0;75;
2;0.5;3641.0;1887.0;85;
2;0.5;4079.0;2028.0;95;
2;0.5;4460.0;2260.0;105;
2;0.5;4795.0;2444.0;115;
2;0.5;5237.0;2596.0;125;
2;0.5;5616.0;2900.0;135;
2;0.5;6104.0;3023.0;145;
2;0.5;6425.0;3283.0;155;
2;0.5;6851.0;3445.0;165;
2;0.5;7238.0;3666.0;175;
