CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS;
2;0.5;631.0;468.0;10;
2;0.5;1030.0;756.0;20;
2;0.5;1469.0;1009.0;30;
2;0.5;1805.0;1265.0;40;
2;0.5;2206.0;1522.0;50;
2;0.5;2636.0;1781.0;60;
2;0.5;3016.0;2052.0;70;
2;0.5;3474.0;2355.0;80;
2;0.5;3877.0;2620.0;90;
2;0.5;4212.0;2845.0;100;
2;0.5;4671.0;3116.0;110;
2;0.5;5027.0;3367.0;120;
2;0.5;5379.0;3556.0;130;
2;0.5;5819.0;3739.0;140;
2;0.5;6138.0;4092.0;150;
2;0.5;6666.0;4367.0;160;
2;0.5;6933.0;4726.0;170;
2;0.5;7404.0;4834.0;180;
2;0.5;7802.0;5162.0;190;
2;0.5;8201.0;5424.0;200;
2;0.5;8651.0;5473.0;210;
2;0.5;8983.0;5863.0;220;
2;0.5;9415.0;6110.0;230;
2;0.5;9775.0;6605.0;240;
2;0.5;10149.0;6889.0;250;
2;0.5;391.0;333.0;5;
2;0.5;832.0;594.0;15;
2;0.5;1220.0;832.0;25;
2;0.5;1614.0;1059.0;35;
2;0.5;2064.0;1331.0;45;
2;0.5;2431.0;1618.0;55;
2;0.5;2857.0;1815.0;65;
2;0.5;3223.0;2087.0;75;
2;0.5;3681.0;2222.0;85;
2;0.5;4037.0;2537.0;95;
2;0.5;4385.0;2851.0;105;
2;0.5;4887.0;3105.0;115;
2;0.5;5273.0;3355.0;125;
2;0.5;5602.0;3519.0;135;
2;0.5;6030.0;3757.0;145;
2;0.5;6513.0;4007.0;155;
2;0.5;6754.0;4184.0;165;
2;0.5;7207.0;4519.0;175;
2;0.5;7580.0;4712.0;185;
2;0.5;7993.0;4883.0;195;
2;0.5;8385.0;5082.0;205;
2;0.5;8800.0;5379.0;215;
2;0.5;9235.0;5694.0;225;
2;0.5;9496.0;5927.0;235;
2;0.5;9940.0;6051.0;245;
2;0.5;275.0;282.0;0;
2;0.5;627.0;437.0;10;
2;0.5;1025.0;689.0;20;
2;0.5;1423.0;937.0;30;
2;0.5;1796.0;1149.0;40;
2;0.5;2236.0;1358.0;50;
2;0.5;2695.0;1644.0;60;
2;0.5;3062.0;1865.0;70;
2;0.5;3458.0;2125.0;80;
2;0.5;3841.0;2324.0;90;
2;0.5;4228.0;2539.0;100;
2;0.5;4651.0;2797.0;110;
2;0.5;5003.0;3025.0;120;
2;0.5;5406.0;3171.0;130;
2;0.5;5899.0;3632.0;140;
2;0.5;6233.0;3776.0;150;
2;0.5;6625.0;3957.0;160;
2;0.5;6970.0;4250.0;170;
2;0.5;7434.0;4461.0;180;
2;0.5;7791.0;4547.0;190;
2;0.5;8182.0;4924.0;200;
2;0.5;8533.0;5127.0;210;
2;0.5;8876.0;5303.0;220;
2;0.5;9272.0;5582.0;230;
2;0.5;9735.0;5822.0;240;
2;0.5;10064.0;5961.0;250;
2;0.5;390.0;310.0;5;
2;0.5;831.0;556.0;15;
2;0.5;1243.0;771.0;25;
2;0.5;1614.0;1028.0;35;
2;0.5;2033.0;1246.0;45;
2;0.5;2438.0;1457.0;55;
2;0.5;2864.0;1693.0;65;
2;0.5;3284.0;1916.0;75;
2;0.5;3698.0;2077.0;85;
2;0.5;3988.0;2352.0;95;
2;0.5;4445.0;2530.0;105;
2;0.5;4821.0;2789.0;115;
2;0.5;5192.0;3022.0;125;
2;0.5;5664.0;3268.0;135;
2;0.5;6078.0;3500.0;145;
2;0.5;6517.0;3740.0;155;
2;0.5;6755.0;3879.0;165;
2;0.5;7185.0;4118.0;175;
2;0.5;7714.0;4340.0;185;
2;0.5;8087.0;4682.0;195;
2;0.5;8401.0;4990.0;205;
2;0.5;8816.0;4947.0;215;
2;0.5;9160.0;5290.0;225;
2;0.5;9463.0;5479.0;235;
