CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS
2.0;0.4;597.0;491.0;10.0
2.0;0.4;959.0;903.0;20.0
2.0;0.4;1400.0;1284.0;30.0
2.0;0.4;1748.0;1628.0;40.0
2.0;0.4;2193.0;1975.0;50.0
2.0;0.4;2643.0;2373.0;60.0
2.0;0.4;2975.0;2672.0;70.0
2.0;0.4;3434.0;3054.0;80.0
2.0;0.4;3856.0;3329.0;90.0
2.0;0.4;4251.0;3572.0;100.0
2.0;0.4;4620.0;3862.0;110.0
2.0;0.4;5185.0;4100.0;120.0
2.0;0.4;5510.0;4420.0;130.0
2.0;0.4;5886.0;4749.0;140.0
2.0;0.4;6329.0;5086.0;150.0
2.0;0.4;6593.0;5568.0;160.0
2.0;0.4;6819.0;5748.0;170.0
2.0;0.4;7231.0;6409.0;180.0
2.0;0.4;7628.0;7110.0;190.0
2.0;0.4;7994.0;7220.0;200.0
2.0;0.4;8512.0;7921.0;210.0
2.0;0.4;8944.0;8210.0;220.0
2.0;0.4;9292.0;8426.0;230.0
2.0;0.4;9806.0;8785.0;240.0
2.0;0.4;10056.0;9028.0;250.0
2.0;0.4;389.0;346.0;5.0
2.0;0.4;772.0;696.0;15.0
2.0;0.4;1192.0;1026.0;25.0
2.0;0.4;1576.0;1372.0;35.0
2.0;0.4;2012.0;1680.0;45.0
2.0;0.4;2423.0;2061.0;55.0
2.0;0.4;2837.0;2351.0;65.0
2.0;0.4;3242.0;2759.0;75.0
2.0;0.4;3656.0;3076.0;85.0
2.0;0.4;4046.0;3430.0;95.0
2.0;0.4;4567.0;3804.0;105.0
2.0;0.4;4850.0;4214.0;115.0
2.0;0.4;5199.0;4602.0;125.0
2.0;0.4;5605.0;5105.0;135.0
2.0;0.4;5816.0;5262.0;145.0
2.0;0.4;6271.0;5897.0;155.0
2.0;0.4;6692.0;6128.0;165.0
2.0;0.4;6996.0;6445.0;175.0
2.0;0.4;7502.0;6955.0;185.0
2.0;0.4;8003.0;7205.0;195.0
2.0;0.4;8331.0;7507.0;205.0
2.0;0.4;8619.0;7753.0;215.0
