CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS
2.0;1.0;639.0;277.0;10.0
2.0;1.0;1038.0;282.0;20.0
2.0;1.0;1457.0;303.0;30.0
2.0;1.0;1836.0;328.0;40.0
2.0;1.0;2280.0;338.0;50.0
2.0;1.0;2665.0;389.0;60.0
2.0;1.0;3175.0;405.0;70.0
2.0;1.0;3491.0;429.0;80.0
2.0;1.0;3911.0;404.0;90.0
2.0;1.0;4431.0;456.0;100.0
2.0;1.0;4788.0;487.0;110.0
2.0;1.0;5174.0;503.0;120.0
2.0;1.0;5572.0;526.0;130.0
2.0;1.0;6099.0;540.0;140.0
2.0;1.0;6435.0;564.0;150.0
2.0;1.0;6857.0;598.0;160.0
2.0;1.0;7261.0;622.0;170.0
2.0;1.0;7758.0;617.0;180.0
2.0;1.0;8153.0;629.0;190.0
2.0;1.0;8557.0;661.0;200.0
2.0;1.0;9014.0;685.0;210.0
2.0;1.0;9494.0;693.0;220.0
2.0;1.0;9890.0;714.0;230.0
2.0;1.0;10341.0;730.0;240.0
2.0;1.0;10787.0;756.0;250.0
2.0;1.0;427.0;278.0;5.0
2.0;1.0;861.0;286.0;15.0
2.0;1.0;1287.0;298.0;25.0
2.0;1.0;1666.0;335.0;35.0
2.0;1.0;2050.0;343.0;45.0
2.0;1.0;2479.0;354.0;55.0
2.0;1.0;2922.0;382.0;65.0
2.0;1.0;3315.0;402.0;75.0
2.0;1.0;3735.0;425.0;85.0
2.0;1.0;4182.0;436.0;95.0
2.0;1.0;4590.0;464.0;105.0
2.0;1.0;4934.0;491.0;115.0
2.0;1.0;5324.0;521.0;125.0
2.0;1.0;5779.0;517.0;135.0
2.0;1.0;6094.0;546.0;145.0
2.0;1.0;6628.0;575.0;155.0
2.0;1.0;6922.0;591.0;165.0
2.0;1.0;7408.0;604.0;175.0
2.0;1.0;7817.0;606.0;185.0
2.0;1.0;8307.0;634.0;195.0
2.0;1.0;8702.0;664.0;205.0
2.0;1.0;9137.0;690.0;215.0
2.0;1.0;9579.0;713.0;225.0
2.0;1.0;9842.0;702.0;235.0
2.0;1.0;10402.0;727.0;245.0
2.0;1.0;280.0;280.0;0.0
2.0;1.0;641.0;278.0;10.0
2.0;1.0;1059.0;288.0;20.0
2.0;1.0;1479.0;325.0;30.0
2.0;1.0;1868.0;323.0;40.0
2.0;1.0;2325.0;338.0;50.0
2.0;1.0;2765.0;364.0;60.0
2.0;1.0;3171.0;398.0;70.0
2.0;1.0;3481.0;428.0;80.0
2.0;1.0;3939.0;443.0;90.0
2.0;1.0;4344.0;448.0;100.0
2.0;1.0;4753.0;478.0;110.0
2.0;1.0;5173.0;504.0;120.0
2.0;1.0;5559.0;511.0;130.0
2.0;1.0;5973.0;520.0;140.0
2.0;1.0;6476.0;552.0;150.0
2.0;1.0;6846.0;583.0;160.0
2.0;1.0;7285.0;608.0;170.0
2.0;1.0;7671.0;592.0;180.0
2.0;1.0;8083.0;612.0;190.0
2.0;1.0;8426.0;631.0;200.0
2.0;1.0;8858.0;657.0;210.0
2.0;1.0;9304.0;681.0;220.0
2.0;1.0;9736.0;676.0;230.0
2.0;1.0;10088.0;694.0;240.0
2.0;1.0;10511.0;704.0;250.0
2.0;1.0;423.0;284.0;5.0
2.0;1.0;842.0;292.0;15.0
2.0;1.0;1252.0;298.0;25.0
2.0;1.0;1672.0;324.0;35.0
2.0;1.0;2065.0;337.0;45.0
2.0;1.0;2513.0;358.0;55.0
2.0;1.0;2905.0;379.0;65.0
2.0;1.0;3362.0;433.0;75.0
2.0;1.0;3785.0;417.0;85.0
2.0;1.0;4141.0;430.0;95.0
2.0;1.0;4615.0;460.0;105.0
2.0;1.0;5036.0;495.0;115.0
2.0;1.0;5381.0;522.0;125.0
2.0;1.0;5871.0;520.0;135.0
2.0;1.0;6233.0;529.0;145.0
2.0;1.0;6663.0;564.0;155.0
2.0;1.0;7192.0;587.0;165.0
2.0;1.0;7550.0;601.0;175.0
2.0;1.0;7928.0;601.0;185.0
2.0;1.0;8406.0;624.0;195.0
2.0;1.0;8638.0;632.0;205.0
2.0;1.0;9061.0;658.0;215.0
2.0;1.0;9630.0;672.0;225.0
2.0;1.0;9923.0;675.0;235.0
2.0;1.0;10410.0;690.0;245.0
2.0;1.0;284.0;283.0;0.0
2.0;1.0;638.0;280.0;10.0
2.0;1.0;1058.0;287.0;20.0
2.0;1.0;1479.0;318.0;30.0
2.0;1.0;1846.0;322.0;40.0
2.0;1.0;2249.0;342.0;50.0
2.0;1.0;2690.0;384.0;60.0
2.0;1.0;3147.0;396.0;70.0
2.0;1.0;3559.0;421.0;80.0
2.0;1.0;3965.0;422.0;90.0
2.0;1.0;4370.0;450.0;100.0
2.0;1.0;4773.0;461.0;110.0
2.0;1.0;5217.0;500.0;120.0
2.0;1.0;5593.0;510.0;130.0
2.0;1.0;5979.0;513.0;140.0
2.0;1.0;6401.0;541.0;150.0
2.0;1.0;6944.0;577.0;160.0
2.0;1.0;7219.0;595.0;170.0
2.0;1.0;7685.0;593.0;180.0
2.0;1.0;8151.0;600.0;190.0
2.0;1.0;8523.0;624.0;200.0
2.0;1.0;8879.0;637.0;210.0
2.0;1.0;9352.0;657.0;220.0
2.0;1.0;9832.0;656.0;230.0
2.0;1.0;10166.0;664.0;240.0
2.0;1.0;10660.0;690.0;250.0
2.0;1.0;419.0;281.0;5.0
2.0;1.0;846.0;287.0;15.0
2.0;1.0;1271.0;300.0;25.0
2.0;1.0;1677.0;332.0;35.0
2.0;1.0;2076.0;324.0;45.0
2.0;1.0;2528.0;355.0;55.0
2.0;1.0;2923.0;382.0;65.0
2.0;1.0;3320.0;408.0;75.0
2.0;1.0;3711.0;421.0;85.0
2.0;1.0;4105.0;423.0;95.0
2.0;1.0;4611.0;455.0;105.0
