CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS
2.0;0.0;610.0;671.0;10.0
2.0;0.0;1021.0;1047.0;20.0
2.0;0.0;1427.0;1456.0;30.0
2.0;0.0;1843.0;1835.0;40.0
2.0;0.0;2254.0;2214.0;50.0
2.0;0.0;2686.0;2641.0;60.0
2.0;0.0;3108.0;2972.0;70.0
2.0;0.0;3491.0;3407.0;80.0
2.0;0.0;3933.0;3821.0;90.0
2.0;0.0;4354.0;4201.0;100.0
2.0;0.0;4767.0;4601.0;110.0
2.0;0.0;5235.0;4977.0;120.0
2.0;0.0;5500.0;5370.0;130.0
2.0;0.0;5997.0;5725.0;140.0
2.0;0.0;6432.0;6189.0;150.0
2.0;0.0;6856.0;6640.0;160.0
2.0;0.0;7319.0;6992.0;170.0
2.0;0.0;7656.0;7413.0;180.0
2.0;0.0;8131.0;7777.0;190.0
2.0;0.0;8553.0;8170.0;200.0
2.0;0.0;8971.0;8600.0;210.0
2.0;0.0;9276.0;8827.0;220.0
2.0;0.0;9764.0;9375.0;230.0
2.0;0.0;10176.0;9716.0;240.0
2.0;0.0;10579.0;10043.0;250.0
2.0;0.0;395.0;448.0;5.0
2.0;0.0;834.0;855.0;15.0
2.0;0.0;1245.0;1264.0;25.0
2.0;0.0;1646.0;1616.0;35.0
2.0;0.0;2017.0;2027.0;45.0
2.0;0.0;2475.0;2415.0;55.0
2.0;0.0;2920.0;2833.0;65.0
2.0;0.0;3325.0;3281.0;75.0
2.0;0.0;3670.0;3600.0;85.0
2.0;0.0;4113.0;3943.0;95.0
2.0;0.0;4610.0;4366.0;105.0
2.0;0.0;4990.0;4808.0;115.0
2.0;0.0;5384.0;5132.0;125.0
2.0;0.0;5851.0;5530.0;135.0
2.0;0.0;6225.0;5937.0;145.0
2.0;0.0;6657.0;6402.0;155.0
2.0;0.0;7118.0;6829.0;165.0
2.0;0.0;7355.0;7088.0;175.0
2.0;0.0;7909.0;7567.0;185.0
2.0;0.0;8383.0;7997.0;195.0
2.0;0.0;8676.0;8273.0;205.0
2.0;0.0;9101.0;8765.0;215.0
2.0;0.0;9457.0;9002.0;225.0
2.0;0.0;9975.0;9580.0;235.0
2.0;0.0;10291.0;9812.0;245.0
2.0;0.0;283.0;284.0;0.0
2.0;0.0;594.0;664.0;10.0
2.0;0.0;1011.0;1055.0;20.0
2.0;0.0;1471.0;1461.0;30.0
2.0;0.0;1816.0;1817.0;40.0
2.0;0.0;2256.0;2219.0;50.0
2.0;0.0;2656.0;2614.0;60.0
2.0;0.0;3114.0;3018.0;70.0
2.0;0.0;3491.0;3404.0;80.0
2.0;0.0;3901.0;3845.0;90.0
2.0;0.0;4320.0;4199.0;100.0
2.0;0.0;4783.0;4624.0;110.0
2.0;0.0;5142.0;4941.0;120.0
2.0;0.0;5549.0;5359.0;130.0
2.0;0.0;5987.0;5729.0;140.0
2.0;0.0;6472.0;6194.0;150.0
2.0;0.0;6799.0;6510.0;160.0
2.0;0.0;7291.0;6878.0;170.0
2.0;0.0;7527.0;7291.0;180.0
2.0;0.0;8150.0;7735.0;190.0
2.0;0.0;8534.0;8145.0;200.0
2.0;0.0;8861.0;8479.0;210.0
2.0;0.0;9293.0;8938.0;220.0
2.0;0.0;9739.0;9359.0;230.0
2.0;0.0;9682.0;9550.0;240.0
2.0;0.0;9959.0;10011.0;250.0
2.0;0.0;394.0;444.0;5.0
2.0;0.0;826.0;850.0;15.0
2.0;0.0;1227.0;1265.0;25.0
2.0;0.0;1641.0;1648.0;35.0
2.0;0.0;2029.0;2022.0;45.0
2.0;0.0;2511.0;2452.0;55.0
2.0;0.0;2874.0;2832.0;65.0
2.0;0.0;3308.0;3244.0;75.0
2.0;0.0;3665.0;3620.0;85.0
2.0;0.0;4091.0;3955.0;95.0
2.0;0.0;4624.0;4388.0;105.0
2.0;0.0;4954.0;4787.0;115.0
2.0;0.0;5403.0;5097.0;125.0
2.0;0.0;5764.0;5597.0;135.0
2.0;0.0;6244.0;5942.0;145.0
2.0;0.0;6627.0;6414.0;155.0
2.0;0.0;7033.0;6703.0;165.0
2.0;0.0;7511.0;7159.0;175.0
2.0;0.0;7820.0;7511.0;185.0
2.0;0.0;8269.0;7964.0;195.0
2.0;0.0;8699.0;8241.0;205.0
2.0;0.0;8935.0;8605.0;215.0
2.0;0.0;9177.0;9099.0;225.0
2.0;0.0;9469.0;9485.0;235.0
2.0;0.0;9802.0;9768.0;245.0
2.0;0.0;284.0;285.0;0.0
2.0;0.0;597.0;665.0;10.0
2.0;0.0;1017.0;1054.0;20.0
2.0;0.0;1455.0;1478.0;30.0
2.0;0.0;1841.0;1820.0;40.0
2.0;0.0;2267.0;2207.0;50.0
2.0;0.0;2730.0;2596.0;60.0
2.0;0.0;3119.0;3064.0;70.0
2.0;0.0;3539.0;3411.0;80.0
2.0;0.0;3941.0;3809.0;90.0
2.0;0.0;4413.0;4184.0;100.0
2.0;0.0;4839.0;4614.0;110.0
2.0;0.0;5158.0;4970.0;120.0
2.0;0.0;5635.0;5406.0;130.0
2.0;0.0;5968.0;5819.0;140.0
2.0;0.0;6423.0;6189.0;150.0
2.0;0.0;6841.0;6523.0;160.0
2.0;0.0;7253.0;6904.0;170.0
2.0;0.0;7624.0;7261.0;180.0
2.0;0.0;8150.0;7732.0;190.0
2.0;0.0;8397.0;8185.0;200.0
2.0;0.0;8573.0;8462.0;210.0
2.0;0.0;8861.0;8892.0;220.0
2.0;0.0;9246.0;9268.0;230.0
2.0;0.0;9591.0;9593.0;240.0
2.0;0.0;9911.0;9973.0;250.0
2.0;0.0;393.0;443.0;5.0
2.0;0.0;831.0;867.0;15.0
2.0;0.0;1263.0;1262.0;25.0
2.0;0.0;1627.0;1638.0;35.0
2.0;0.0;2052.0;2015.0;45.0
2.0;0.0;2451.0;2425.0;55.0
2.0;0.0;2898.0;2866.0;65.0
2.0;0.0;3339.0;3235.0;75.0
2.0;0.0;3683.0;3639.0;85.0
2.0;0.0;4182.0;4001.0;95.0
2.0;0.0;4573.0;4437.0;105.0
2.0;0.0;5025.0;4801.0;115.0
2.0;0.0;5399.0;5216.0;125.0
2.0;0.0;5735.0;5546.0;135.0
2.0;0.0;6225.0;5931.0;145.0
2.0;0.0;6607.0;6268.0;155.0
2.0;0.0;7048.0;6838.0;165.0
2.0;0.0;7462.0;7121.0;175.0
2.0;0.0;7613.0;7446.0;185.0
2.0;0.0;7995.0;7859.0;195.0
2.0;0.0;8322.0;8381.0;205.0
2.0;0.0;8617.0;8692.0;215.0
2.0;0.0;8954.0;8962.0;225.0
2.0;0.0;9454.0;9540.0;235.0
2.0;0.0;9867.0;9879.0;245.0
2.0;0.0;282.0;282.0;0.0
2.0;0.0;582.0;652.0;10.0
2.0;0.0;1024.0;1064.0;20.0
2.0;0.0;1485.0;1431.0;30.0
2.0;0.0;1824.0;1813.0;40.0
2.0;0.0;2305.0;2241.0;50.0
2.0;0.0;2696.0;2672.0;60.0
2.0;0.0;3150.0;2998.0;70.0
2.0;0.0;3529.0;3376.0;80.0
2.0;0.0;3902.0;3816.0;90.0
2.0;0.0;4343.0;4220.0;100.0
2.0;0.0;4756.0;4536.0;110.0
2.0;0.0;5128.0;5021.0;120.0
2.0;0.0;5567.0;5321.0;130.0
2.0;0.0;5990.0;5766.0;140.0
2.0;0.0;6401.0;6119.0;150.0
2.0;0.0;6906.0;6529.0;160.0
2.0;0.0;7166.0;6899.0;170.0
2.0;0.0;7484.0;7366.0;180.0
2.0;0.0;7832.0;7751.0;190.0
2.0;0.0;8177.0;8014.0;200.0
2.0;0.0;8394.0;8459.0;210.0
2.0;0.0;8893.0;8900.0;220.0
2.0;0.0;9245.0;9272.0;230.0
2.0;0.0;9592.0;9701.0;240.0
2.0;0.0;10280.0;10095.0;250.0
2.0;0.0;392.0;444.0;5.0
2.0;0.0;825.0;861.0;15.0
2.0;0.0;1245.0;1254.0;25.0
2.0;0.0;1650.0;1642.0;35.0
2.0;0.0;2010.0;2015.0;45.0
2.0;0.0;2476.0;2445.0;55.0
2.0;0.0;2870.0;2817.0;65.0
2.0;0.0;3313.0;3237.0;75.0
2.0;0.0;3674.0;3578.0;85.0
2.0;0.0;4117.0;3963.0;95.0
2.0;0.0;4534.0;4404.0;105.0
2.0;0.0;4971.0;4760.0;115.0
2.0;0.0;5350.0;5127.0;125.0
2.0;0.0;5829.0;5568.0;135.0
2.0;0.0;6198.0;5968.0;145.0
2.0;0.0;6543.0;6310.0;155.0
2.0;0.0;6885.0;6784.0;165.0
2.0;0.0;7254.0;7156.0;175.0
2.0;0.0;7587.0;7505.0;185.0
2.0;0.0;7822.0;7876.0;195.0
2.0;0.0;8299.0;8292.0;205.0
2.0;0.0;8596.0;8700.0;215.0
2.0;0.0;8976.0;9147.0;225.0
2.0;0.0;9394.0;9526.0;235.0
2.0;0.0;10007.0;9820.0;245.0
2.0;0.0;280.0;285.0;0.0
2.0;0.0;593.0;671.0;10.0
2.0;0.0;1014.0;1045.0;20.0
2.0;0.0;1434.0;1449.0;30.0
2.0;0.0;1868.0;1800.0;40.0
2.0;0.0;2233.0;2195.0;50.0
2.0;0.0;2685.0;2595.0;60.0
2.0;0.0;3079.0;3044.0;70.0
2.0;0.0;3499.0;3373.0;80.0
2.0;0.0;3898.0;3752.0;90.0
2.0;0.0;4414.0;4231.0;100.0
2.0;0.0;4756.0;4597.0;110.0
2.0;0.0;5142.0;5014.0;120.0
2.0;0.0;5507.0;5319.0;130.0
2.0;0.0;6038.0;5727.0;140.0
2.0;0.0;6287.0;6158.0;150.0
2.0;0.0;6645.0;6620.0;160.0
2.0;0.0;7028.0;6926.0;170.0
2.0;0.0;7250.0;7274.0;180.0
2.0;0.0;7746.0;7724.0;190.0
2.0;0.0;8068.0;8109.0;200.0
2.0;0.0;8401.0;8449.0;210.0
2.0;0.0;8842.0;8839.0;220.0
2.0;0.0;9325.0;9349.0;230.0
2.0;0.0;9847.0;9646.0;240.0
2.0;0.0;10306.0;10170.0;250.0
2.0;0.0;389.0;440.0;5.0
2.0;0.0;807.0;847.0;15.0
2.0;0.0;1234.0;1252.0;25.0
2.0;0.0;1652.0;1627.0;35.0
2.0;0.0;2048.0;2006.0;45.0
2.0;0.0;2487.0;2445.0;55.0
2.0;0.0;2891.0;2807.0;65.0
2.0;0.0;3291.0;3253.0;75.0
2.0;0.0;3710.0;3569.0;85.0
2.0;0.0;4170.0;4044.0;95.0
2.0;0.0;4521.0;4348.0;105.0
2.0;0.0;5053.0;4802.0;115.0
2.0;0.0;5370.0;5153.0;125.0
2.0;0.0;5691.0;5559.0;135.0
2.0;0.0;6088.0;5952.0;145.0
2.0;0.0;6342.0;6291.0;155.0
2.0;0.0;6749.0;6764.0;165.0
2.0;0.0;6996.0;7063.0;175.0
2.0;0.0;7439.0;7508.0;185.0
2.0;0.0;7878.0;7916.0;195.0
2.0;0.0;8194.0;8253.0;205.0
2.0;0.0;8561.0;8577.0;215.0
2.0;0.0;9147.0;9099.0;225.0
2.0;0.0;9662.0;9571.0;235.0
2.0;0.0;9939.0;9811.0;245.0
2.0;0.0;283.0;285.0;0.0
2.0;0.0;584.0;655.0;10.0
2.0;0.0;1025.0;1068.0;20.0
2.0;0.0;1428.0;1446.0;30.0
2.0;0.0;1836.0;1835.0;40.0
2.0;0.0;2246.0;2189.0;50.0
2.0;0.0;2691.0;2624.0;60.0
2.0;0.0;3095.0;3002.0;70.0
2.0;0.0;3489.0;3376.0;80.0
2.0;0.0;3920.0;3769.0;90.0
2.0;0.0;4353.0;4250.0;100.0
2.0;0.0;4768.0;4663.0;110.0
2.0;0.0;5181.0;5032.0;120.0
2.0;0.0;5583.0;5348.0;130.0
2.0;0.0;5823.0;5738.0;140.0
2.0;0.0;6290.0;6143.0;150.0
2.0;0.0;6537.0;6612.0;160.0
2.0;0.0;6858.0;6923.0;170.0
2.0;0.0;7328.0;7338.0;180.0
2.0;0.0;7625.0;7646.0;190.0
2.0;0.0;8116.0;8170.0;200.0
2.0;0.0;8431.0;8401.0;210.0
2.0;0.0;8976.0;8915.0;220.0
2.0;0.0;9412.0;9198.0;230.0
2.0;0.0;9845.0;9763.0;240.0
2.0;0.0;10004.0;10130.0;250.0
2.0;0.0;392.0;439.0;5.0
2.0;0.0;816.0;852.0;15.0
2.0;0.0;1244.0;1264.0;25.0
2.0;0.0;1649.0;1614.0;35.0
2.0;0.0;2035.0;1995.0;45.0
2.0;0.0;2481.0;2426.0;55.0
2.0;0.0;2890.0;2809.0;65.0
2.0;0.0;3362.0;3194.0;75.0
2.0;0.0;3687.0;3589.0;85.0
2.0;0.0;4198.0;3955.0;95.0
2.0;0.0;4496.0;4359.0;105.0
2.0;0.0;5037.0;4744.0;115.0
2.0;0.0;5344.0;5150.0;125.0
2.0;0.0;5614.0;5515.0;135.0
2.0;0.0;6003.0;5989.0;145.0
2.0;0.0;6340.0;6393.0;155.0
2.0;0.0;6761.0;6748.0;165.0
2.0;0.0;7010.0;7047.0;175.0
2.0;0.0;7459.0;7570.0;185.0
2.0;0.0;7886.0;7969.0;195.0
2.0;0.0;8265.0;8211.0;205.0
2.0;0.0;8697.0;8650.0;215.0
2.0;0.0;9214.0;9173.0;225.0
2.0;0.0;9635.0;9510.0;235.0
2.0;0.0;9781.0;9961.0;245.0
2.0;0.0;284.0;285.0;0.0
