CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS
2.0;0.1;591.0;660.0;10.0
2.0;0.1;1000.0;1084.0;20.0
2.0;0.1;1414.0;1430.0;30.0
2.0;0.1;1739.0;1833.0;40.0
2.0;0.1;2134.0;2226.0;50.0
2.0;0.1;2557.0;2630.0;60.0
2.0;0.1;2967.0;3021.0;70.0
2.0;0.1;3348.0;3437.0;80.0
2.0;0.1;3727.0;3814.0;90.0
2.0;0.1;4137.0;4220.0;100.0
2.0;0.1;4602.0;4580.0;110.0
2.0;0.1;5100.0;5013.0;120.0
2.0;0.1;5427.0;5344.0;130.0
2.0;0.1;5913.0;5769.0;140.0
2.0;0.1;6318.0;6223.0;150.0
2.0;0.1;6623.0;6540.0;160.0
2.0;0.1;7049.0;6943.0;170.0
2.0;0.1;7374.0;7377.0;180.0
2.0;0.1;7633.0;7632.0;190.0
2.0;0.1;7964.0;8132.0;200.0
2.0;0.1;8450.0;8509.0;210.0
2.0;0.1;8782.0;8862.0;220.0
2.0;0.1;9275.0;9336.0;230.0
2.0;0.1;9759.0;9700.0;240.0
2.0;0.1;10632.0;10095.0;250.0
2.0;0.1;367.0;455.0;5.0
2.0;0.1;799.0;874.0;15.0
2.0;0.1;1211.0;1253.0;25.0
2.0;0.1;1615.0;1656.0;35.0
2.0;0.1;1986.0;2057.0;45.0
2.0;0.1;2429.0;2438.0;55.0
2.0;0.1;2839.0;2810.0;65.0
2.0;0.1;3229.0;3259.0;75.0
2.0;0.1;3594.0;3586.0;85.0
2.0;0.1;4006.0;3984.0;95.0
2.0;0.1;4486.0;4366.0;105.0
2.0;0.1;4868.0;4778.0;115.0
2.0;0.1;5307.0;5128.0;125.0
2.0;0.1;5573.0;5553.0;135.0
2.0;0.1;5967.0;6003.0;145.0
2.0;0.1;6395.0;6340.0;155.0
2.0;0.1;6738.0;6735.0;165.0
2.0;0.1;7037.0;7094.0;175.0
2.0;0.1;7395.0;7467.0;185.0
2.0;0.1;7828.0;7924.0;195.0
2.0;0.1;8185.0;8266.0;205.0
2.0;0.1;8813.0;8662.0;215.0
2.0;0.1;9360.0;9029.0;225.0
2.0;0.1;9904.0;9484.0;235.0
2.0;0.1;10238.0;9829.0;245.0
2.0;0.1;281.0;280.0;0.0
2.0;0.1;593.0;667.0;10.0
2.0;0.1;991.0;1071.0;20.0
2.0;0.1;1441.0;1476.0;30.0
2.0;0.1;1773.0;1861.0;40.0
2.0;0.1;2209.0;2218.0;50.0
2.0;0.1;2607.0;2621.0;60.0
2.0;0.1;3047.0;3020.0;70.0
2.0;0.1;3401.0;3372.0;80.0
2.0;0.1;3830.0;3854.0;90.0
2.0;0.1;4267.0;4210.0;100.0
2.0;0.1;4635.0;4522.0;110.0
2.0;0.1;5000.0;5003.0;120.0
2.0;0.1;5393.0;5425.0;130.0
2.0;0.1;5742.0;5737.0;140.0
2.0;0.1;6090.0;6124.0;150.0
2.0;0.1;6411.0;6534.0;160.0
2.0;0.1;6892.0;6938.0;170.0
2.0;0.1;7324.0;7319.0;180.0
2.0;0.1;7656.0;7720.0;190.0
2.0;0.1;8227.0;8040.0;200.0
2.0;0.1;8857.0;8571.0;210.0
2.0;0.1;9223.0;8932.0;220.0
2.0;0.1;9514.0;9269.0;230.0
2.0;0.1;9607.0;9657.0;240.0
2.0;0.1;9772.0;10153.0;250.0
2.0;0.1;373.0;451.0;5.0
2.0;0.1;792.0;860.0;15.0
2.0;0.1;1211.0;1263.0;25.0
2.0;0.1;1608.0;1655.0;35.0
2.0;0.1;2034.0;2045.0;45.0
2.0;0.1;2418.0;2428.0;55.0
2.0;0.1;2815.0;2801.0;65.0
2.0;0.1;3244.0;3274.0;75.0
2.0;0.1;3623.0;3633.0;85.0
2.0;0.1;3957.0;4027.0;95.0
2.0;0.1;4308.0;4369.0;105.0
